DLiP-ID,C000BV
DLiP-Mol-ID,30451
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H18N4O3/c1-2-3-4-5-8-19-15(18)14(10-17)12-7-6-11(20(22)23)9-13(12)16(19)21/h6-7,9H,2-5,8,18H2,1H3"
Standard Inchi Key(RDKit),HUXJUSATPUKZBH-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCCCCCn1c(N)c(C#N)c2ccc([N+](=O)[O-])cc2c1=O
SMILES(SDF),
MW(SDF),
MW(RDKit),314.345
MW Monoisotopic(RDKit),314.137890436
MolLogP(RDKit),2.94388
XLogP(SDF),
XLogP(CDK),4.733
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),114.95
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),23
QED Weighted(RDKit),0.499744981224724
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,130327.83568036814
qed,0.4997449812247239
Chi0,16.98276318419594
Chi1,11.006437715248111
TPSA,114.94999999999999
Chi0n,12.911320640582707
Chi0v,12.911320640582707
Chi1n,7.513743261412744
Chi1v,7.513743261412744
Chi2n,5.376491020070318
Chi2v,5.376491020070318
Chi3n,3.8528820716019854
Chi3v,3.8528820716019854
Chi4n,2.604670096813744
Chi4v,2.604670096813744
MolMR,88.13180000000003
MolWt,314.3450000000001
fr_SH,0
Kappa1,16.489820362718092
Kappa2,6.919812701385692
Kappa3,3.1587749377936154
fr_ArN,1
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,3
fr_NH1,0
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,848.994887453359
MolLogP,2.94388
NOCount,7
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,2.605681031531328
SMR_VSA1,4.923311048817671
SMR_VSA2,5.261891554738487
SMR_VSA3,4.567099647791355
SMR_VSA4,0.0
SMR_VSA5,39.15178009730723
SMR_VSA6,5.733667477162185
SMR_VSA7,44.23067504497123
SMR_VSA8,0.0
SMR_VSA9,6.069221312792274
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,1
fr_oxime,0
fr_quatN,0
LabuteASA,132.64425012057524
NHOHCount,2
PEOE_VSA1,5.733667477162185
