DLiP-ID,C000NT
DLiP-Mol-ID,31101
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H28N2O3S/c1-3-23(4-2,22(27)28)14-20(26)24-18-10-5-7-16(13-18)11-12-21-25-19(15-29-21)17-8-6-9-17/h5,7,10-13,15,17H,3-4,6,8-9,14H2,1-2H3,(H,24,26)(H,27,28)/b12-11+"
Standard Inchi Key(RDKit),BZMKNPGKXJAIDV-VAWYXSNFSA-N
Canonical SMILES(RDKit),CCC(CC)(CC(=O)Nc1cccc(/C=C/c2nc(C3CCC3)cs2)c1)C(=O)O
SMILES(SDF),
MW(SDF),
MW(RDKit),412.555
MW Monoisotopic(RDKit),412.182063756
MolLogP(RDKit),5.80060000000001
XLogP(SDF),
XLogP(CDK),4.02
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),79.29
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),9
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),29
QED Weighted(RDKit),0.545342068977973
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,2793542.85033621
qed,0.5453420689779727
Chi0,20.855160383312143
Chi1,13.952657366607887
TPSA,79.29
Chi0n,16.9806149030278
Chi0v,17.797111483955526
Chi1n,10.223219871773667
Chi1v,11.102872683028561
Chi2n,7.714774555461793
Chi2v,8.604455522483395
Chi3n,5.958079201062987
Chi3v,6.786284225320027
Chi4n,3.546963482601422
Chi4v,4.338332903711903
MolMR,117.97350000000006
MolWt,412.5550000000002
fr_SH,0
Kappa1,21.243953213231745
Kappa2,9.35174602504966
Kappa3,5.122475236200728
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,895.0328380636294
MolLogP,5.8006000000000055
NOCount,5
fr_Ar_N,1
fr_COO2,1
fr_urea,0
BalabanJ,1.6336265530546121
SMR_VSA1,14.69560176298435
SMR_VSA2,0.0
SMR_VSA3,4.9839785209472085
SMR_VSA4,5.41499046939678
SMR_VSA5,58.29031018309871
SMR_VSA6,5.316788604006331
SMR_VSA7,45.91053422771057
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,175.42940412864962
NHOHCount,2
PEOE_VSA1,10.423315998847038
PEOE_VSA2,9.589074368143644
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,0.0
PEOE_VSA5,11.336785877934737
PEOE_VSA6,38.47705026606435
PEOE_VSA7,49.45549222715814
PEOE_VSA8,23.40617671423688
PEOE_VSA9,11.10891846424524
RingCount,3
