DLiP-ID,C002ID
DLiP-Mol-ID,31398
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C11H16N2/c1-2-9-13(8-1)10-5-11-3-6-12-7-4-11/h3-4,6-7H,1-2,5,8-10H2"
Standard Inchi Key(RDKit),GNJYGFKCUMGKOY-UHFFFAOYSA-N
Canonical SMILES(RDKit),c1cc(CCN2CCCC2)ccn1
SMILES(SDF),
MW(SDF),
MW(RDKit),176.263
MW Monoisotopic(RDKit),176.131348512
MolLogP(RDKit),1.7199
XLogP(SDF),
XLogP(CDK),1.185
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),2
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),16.13
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),13
QED Weighted(RDKit),0.696811771758556
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Importin subunit beta-1/Snurportin-1
Common Target Pref Name,Importin subunit beta-1/Snurportin-1
RDKit Descriptors
Ipc,2054.358817327661
qed,0.6968117717585559
Chi0,8.932875131431276
Chi1,6.449489742783179
TPSA,16.130000000000003
Chi0n,7.946468954877707
Chi0v,7.946468954877707
Chi1n,5.062651403994403
Chi1v,5.062651403994403
Chi2n,3.654209453650241
Chi2v,3.654209453650241
Chi3n,2.6647457393273055
Chi3v,2.6647457393273055
Chi4n,1.842898387982842
Chi4v,1.842898387982842
MolMR,53.61500000000003
MolWt,176.263
fr_SH,0
Kappa1,8.696948085233146
Kappa2,4.375475831313352
Kappa3,2.524814285413074
fr_ArN,0
fr_COO,0
