DLiP-ID,T000GF
DLiP-Mol-ID,15958
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C7H5ClN4/c8-6-3-1-5(2-4-6)7-9-11-12-10-7/h1-4H,(H,9,10,11,12)"
Standard Inchi Key(RDKit),BGKOVWIBDZMJPN-UHFFFAOYSA-N
Canonical SMILES(RDKit),Clc1ccc(-c2nnn[nH]2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),180.598
MW Monoisotopic(RDKit),180.02027384
MolLogP(RDKit),1.5201
XLogP(SDF),
XLogP(CDK),2.98
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),54.46
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),12
QED Weighted(RDKit),0.72413935593025
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,CRM1/Rev
Common Target Pref Name,CRM1/Rev
RDKit Descriptors
Ipc,1093.4283721559289
qed,0.7241393559302506
Chi0,8.38890505706126
Chi1,5.860173345306138
TPSA,54.46
Chi0n,6.029006336267605
Chi0v,6.78493528228606
Chi1n,3.3575630370504905
Chi1v,3.7355275100597183
Chi2n,2.256745940555766
Chi2v,2.693181721027751
Chi3n,1.4630031011713
Chi3v,1.714979416510785
Chi4n,0.8892063735982577
Chi4v,1.0151945312680002
MolMR,44.62370000000001
MolWt,180.598
fr_SH,0
Kappa1,7.241016999710657
Kappa2,2.9053949551859546
Kappa3,1.2858796524773044
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,3
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,353.4052181946642
MolLogP,1.5200999999999996
NOCount,4
fr_Ar_N,4
fr_COO2,0
fr_urea,0
BalabanJ,2.4260179991712123
SMR_VSA1,0.0
SMR_VSA2,0.0
