DLiP-ID,C000UA
DLiP-Mol-ID,31384
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H13NO4/c18-13(19)8-3-9-17-15(20)11-6-1-4-10-5-2-7-12(14(10)11)16(17)21/h1-2,4-7H,3,8-9H2,(H,18,19)"
Standard Inchi Key(RDKit),ZHXRDXTYPCPBTI-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(O)CCCN1C(=O)c2cccc3cccc(c23)C1=O
SMILES(SDF),
MW(SDF),
MW(RDKit),283.283
MW Monoisotopic(RDKit),283.084457896
MolLogP(RDKit),2.3006
XLogP(SDF),
XLogP(CDK),2.298
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),74.68
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.873588018945656
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,69236.27024100408
qed,0.873588018945656
Chi0,14.982763184195939
Chi1,10.092224152875017
TPSA,74.68
Chi0n,11.204594021088905
Chi0v,11.204594021088905
Chi1n,6.691007857268429
Chi1v,6.691007857268429
Chi2n,4.968493941852922
Chi2v,4.968493941852922
Chi3n,3.6281832521620534
Chi3v,3.6281832521620534
Chi4n,2.6719431099682094
Chi4v,2.6719431099682094
MolMR,76.18480000000002
MolWt,283.2830000000001
fr_SH,0
Kappa1,13.300336635910014
Kappa2,5.012254532265894
Kappa3,2.1630725289924424
fr_ArN,0
fr_COO,1
fr_C_O,3
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,715.2110696607645
MolLogP,2.3006
NOCount,5
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,2.0078191009945083
SMR_VSA1,19.49013894705617
SMR_VSA2,0.0
SMR_VSA3,4.899909730850478
SMR_VSA4,0.0
SMR_VSA5,12.841643245852019
SMR_VSA6,6.544756405912575
SMR_VSA7,47.52510539416365
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,1
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,120.33552290661328
NHOHCount,1
PEOE_VSA1,5.106527394840706
PEOE_VSA2,19.28352128306594
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,24.26546827384644
PEOE_VSA7,23.939779974314025
PEOE_VSA8,29.47870522669737
PEOE_VSA9,0.0
RingCount,3
