DLiP-ID,C000HJ
DLiP-Mol-ID,30828
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H14O3/c1-9-4-3-5-12-11(9)6-7-13-15(12)17(20)16(19)14-10(2)8-21-18(13)14/h3-7,10H,8H2,1-2H3/t10-/m0/s1"
Standard Inchi Key(RDKit),HARGZZNYNSYSGJ-JTQLQIEISA-N
Canonical SMILES(RDKit),Cc1cccc2c3c(ccc12)C1=C(C(=O)C3=O)[C@@H](C)CO1
SMILES(SDF),
MW(SDF),
MW(RDKit),278.307
MW Monoisotopic(RDKit),278.094294308
MolLogP(RDKit),3.29102
XLogP(SDF),
XLogP(CDK),3.477
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),43.37
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),0
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.694450269365918
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,107667.88900285933
qed,0.6944502693659184
Chi0,14.723250160202095
Chi1,10.092224152875014
TPSA,43.370000000000005
Chi0n,11.895953267715893
Chi0v,11.895953267715893
Chi1n,7.0800218029181625
Chi1v,7.0800218029181625
Chi2n,5.771254236618489
Chi2v,5.771254236618489
Chi3n,4.417106290090984
Chi3v,4.417106290090984
Chi4n,3.327606181882969
Chi4v,3.327606181882969
MolMR,80.05850000000002
MolWt,278.307
fr_SH,0
Kappa1,12.330496675516494
Kappa2,4.0414568409277845
Kappa3,1.4864433378602684
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,858.1376378148386
MolLogP,3.2910200000000023
NOCount,3
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.131712508031569
SMR_VSA1,14.325937321943693
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,5.917906046161393
SMR_VSA5,13.847474399381248
SMR_VSA6,6.606881964512918
SMR_VSA7,52.595294347468304
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
