DLiP-ID,I000EN
DLiP-Mol-ID,28297
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H17Cl2N3O3/c22-16-10-14-15(12-24-18(14)11-17(16)23)19(27)21(29)26-8-6-25(7-9-26)20(28)13-4-2-1-3-5-13/h1-5,10-12,24H,6-9H2"
Standard Inchi Key(RDKit),GYWHJPVBMDREOD-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(C(=O)N1CCN(C(=O)c2ccccc2)CC1)c1c[nH]c2cc(Cl)c(Cl)cc12
SMILES(SDF),
MW(SDF),
MW(RDKit),430.291
MW Monoisotopic(RDKit),429.064696764
MolLogP(RDKit),3.642
XLogP(SDF),
XLogP(CDK),4.076
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),73.48
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),29
QED Weighted(RDKit),0.509536676346628
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,CD4_gp120
Common Target Pref Name,CD4/gp120
RDKit Descriptors
Ipc,5434835.140447506
qed,0.5095366763466277
Chi0,20.543241116511005
Chi1,13.952397498181154
TPSA,73.48
Chi0n,15.322330286673159
Chi0v,16.83418817871007
Chi1n,9.095195978364169
Chi1v,9.851124924382624
Chi2n,6.79380193067637
Chi2v,7.608202184157582
