DLiP-ID,C000QZ
DLiP-Mol-ID,31243
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C14H14N4OS/c1-9-7-13(20-17-9)16-14(19)15-11-3-4-12-10(8-11)5-6-18(12)2/h3-8H,1-2H3,(H2,15,16,19)"
Standard Inchi Key(RDKit),USFUFHFQWXDVMH-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1cc(NC(=O)Nc2ccc3c(ccn3C)c2)sn1
SMILES(SDF),
MW(SDF),
MW(RDKit),286.36
MW Monoisotopic(RDKit),286.088832068
MolLogP(RDKit),3.58722
XLogP(SDF),
XLogP(CDK),2.09
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),58.95
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),20
QED Weighted(RDKit),0.756056647942801
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,55236.077445738294
qed,0.7560566479428007
Chi0,14.11251969619286
Chi1,9.614193540729627
TPSA,58.95
Chi0n,11.1750253870654
Chi0v,11.991521967993126
Chi1n,6.1808411658763545
Chi1v,6.954237828010328
Chi2n,4.611905957430947
Chi2v,5.416880734728505
Chi3n,3.007784469778687
Chi3v,3.803664554940415
Chi4n,2.0561186260067403
Chi4v,2.712764783361568
MolMR,82.41140000000003
MolWt,286.36
fr_SH,0
Kappa1,12.681588779340341
Kappa2,4.974004116895683
Kappa3,2.5042332469911948
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,774.4258037323967
MolLogP,3.587220000000001
NOCount,5
fr_Ar_N,2
fr_COO2,0
fr_urea,1
BalabanJ,1.733173813789385
SMR_VSA1,4.794537184071822
SMR_VSA2,0.0
SMR_VSA3,8.940639629207805
SMR_VSA4,7.04767198267719
SMR_VSA5,6.923737199690624
SMR_VSA6,10.633577208012662
SMR_VSA7,42.222606908769585
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,119.94646781565892
NHOHCount,2
PEOE_VSA1,9.883888251797686
PEOE_VSA2,5.316788604006331
PEOE_VSA3,4.794537184071822
PEOE_VSA4,4.3735399814164495
PEOE_VSA5,0.0
PEOE_VSA6,0.0
PEOE_VSA7,48.78805915356535
PEOE_VSA8,29.834826761054888
PEOE_VSA9,5.693927994848461
RingCount,3
SMR_VSA10,39.154994307357235
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,286.088832068
NumHDonors,2
PEOE_VSA10,5.001081976687867
PEOE_VSA11,0.0
PEOE_VSA12,0.0
