DLiP-ID,T000RO
DLiP-Mol-ID,16449
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H16N2OS/c1-21-17-10-8-15(9-11-17)19-18(22)20-16-7-6-13-4-2-3-5-14(13)12-16/h2-12H,1H3,(H2,19,20,22)"
Standard Inchi Key(RDKit),CEGVXSRXEKZEOY-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccc(NC(=S)Nc2ccc3ccccc3c2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),308.406
MW Monoisotopic(RDKit),308.098334132
MolLogP(RDKit),4.6573
XLogP(SDF),
XLogP(CDK),4.438
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),33.29
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),22
QED Weighted(RDKit),0.689646554557799
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Cyclophilins
Common Target Pref Name,Cyclophilins
RDKit Descriptors
Ipc,141698.95138237067
qed,0.6896465545577991
Chi0,15.363596551749426
Chi1,10.741514740667453
TPSA,33.29
Chi0n,12.167349542013612
Chi0v,12.983846122941339
Chi1n,6.953247926875856
Chi1v,7.3614962173397185
Chi2n,4.869555502662455
Chi2v,5.277803793126318
Chi3n,3.355221358152144
