DLiP-ID,T001ZF
DLiP-Mol-ID,17961
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H29N5O5S/c1-15-9-11-17(12-10-15)33(31,32)27-19(14-16-6-3-2-4-7-16)20(28)26-18(21(29)30)8-5-13-25-22(23)24/h2-4,6-7,9-12,18-19,27H,5,8,13-14H2,1H3,(H,26,28)(H,29,30)(H4,23,24,25)"
Standard Inchi Key(RDKit),GTDYZKRTCCRNKB-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1ccc(S(=O)(=O)NC(Cc2ccccc2)C(=O)NC(CCCNC(N)=[NH2+])C(=O)[O-])cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),475.571
MW Monoisotopic(RDKit),475.188940028
MolLogP(RDKit),-2.43707999999999
XLogP(SDF),
XLogP(CDK),-0.929
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),10
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),5
HBD Lipinski(RDKit),7
PSA(SDF),
PSA(RDKit),179.04
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),12
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.128494046190358
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,11588219.106094884
qed,0.1284940461903584
Chi0,24.432510652501765
Chi1,15.58022458302273
TPSA,179.04
Chi0n,18.283470366994507
Chi0v,19.099966947922233
Chi1n,10.341659036745021
Chi1v,11.824822284339414
Chi2n,7.581205820767726
Chi2v,9.295186177340826
Chi3n,4.8275421655898025
Chi3v,6.31512914921304
Chi4n,3.0705970101955598
Chi4v,4.266005650531431
MolMR,120.72870000000005
MolWt,475.5710000000003
fr_SH,0
Kappa1,25.8174970532606
Kappa2,11.976044222398096
Kappa3,8.543916362915898
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,0
fr_NH1,3
fr_NH2,2
fr_N_O,0
fr_azo,0
BertzCT,1058.3439439624099
MolLogP,-2.4370799999999946
NOCount,10
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,2.1866102774509275
SMR_VSA1,28.522682353104805
SMR_VSA2,0.0
SMR_VSA3,15.355672072464749
SMR_VSA4,5.733667477162185
SMR_VSA5,43.165367202282354
SMR_VSA6,6.544756405912575
SMR_VSA7,65.72420659954848
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
