DLiP-ID,C003MR
DLiP-Mol-ID,34209
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H21NO3/c1-24-14-10-8-13(9-11-14)21-17-4-2-6-19(22)15(17)12-16-18(21)5-3-7-20(16)23/h8-11H,2-7,12H2,1H3"
Standard Inchi Key(RDKit),DAYLYXGTFXGDOM-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccc(N2C3=C(CC4=C2CCCC4=O)C(=O)CCC3)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),323.392
MW Monoisotopic(RDKit),323.152143532
MolLogP(RDKit),3.9195
XLogP(SDF),
XLogP(CDK),2.171
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),46.61
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),24
QED Weighted(RDKit),0.827417718318025
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
Common Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
RDKit Descriptors
Ipc,458066.25883389293
qed,0.8274177183180254
Chi0,16.681433796945207
Chi1,11.685871848001627
TPSA,46.61
Chi0n,13.931107011955886
Chi0v,13.931107011955886
Chi1n,8.634128668015155
Chi1v,8.634128668015155
Chi2n,6.614166374449418
Chi2v,6.614166374449418
Chi3n,5.228717949175634
Chi3v,5.228717949175634
Chi4n,4.0356059636756045
Chi4v,4.0356059636756045
MolMR,91.85800000000003
MolWt,323.39200000000005
fr_SH,0
Kappa1,15.184316073536854
Kappa2,5.930369176789154
Kappa3,2.3716781971226966
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,728.5786293472646
MolLogP,3.919500000000003
NOCount,4
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.8511581049565842
SMR_VSA1,14.325937321943691
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,44.94575136048208
SMR_VSA6,12.009707272128011
SMR_VSA7,46.80575596009664
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,141.34031629589109
