DLiP-ID,C000JB
DLiP-Mol-ID,30841
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H15N3O2/c1-10(21)18-14-5-3-12-7-13-4-6-15(19-11(2)22)9-17(13)20-16(12)8-14/h3-9H,1-2H3,(H,18,21)(H,19,22)"
Standard Inchi Key(RDKit),IPBVFYCAVIISQF-UHFFFAOYSA-N
Canonical SMILES(RDKit),CC(=O)Nc1ccc2cc3ccc(NC(C)=O)cc3nc2c1
SMILES(SDF),
MW(SDF),
MW(RDKit),293.326
MW Monoisotopic(RDKit),293.11642672
MolLogP(RDKit),3.3048
XLogP(SDF),
XLogP(CDK),1.988
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),71.09
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),22
QED Weighted(RDKit),0.712056957095523
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,95707.71756490707
qed,0.7120569570955229
Chi0,15.689869965382487
Chi1,10.50804039084698
TPSA,71.09
Chi0n,12.305162060755068
Chi0v,12.305162060755068
Chi1n,6.908879898578618
Chi1v,6.908879898578618
Chi2n,5.165703230267542
Chi2v,5.165703230267542
Chi3n,3.253517933598728
Chi3v,3.253517933598728
Chi4n,2.384440819802624
Chi4v,2.384440819802624
MolMR,87.85640000000002
MolWt,293.326
fr_SH,0
Kappa1,14.007002048058858
Kappa2,5.442554214930466
Kappa3,2.880264557897965
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,831.9340178646399
MolLogP,3.304800000000001
NOCount,5
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,2.103282994248829
SMR_VSA1,9.589074368143644
SMR_VSA2,0.0
SMR_VSA3,4.9839785209472085
SMR_VSA4,0.0
SMR_VSA5,13.847474399381248
SMR_VSA6,10.633577208012662
SMR_VSA7,42.46456947923127
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,126.89691718880394
NHOHCount,2
PEOE_VSA1,10.633577208012662
PEOE_VSA2,9.589074368143644
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,12.13273413692322
PEOE_VSA7,30.33183534230805
PEOE_VSA8,35.994695377677964
PEOE_VSA9,11.033401435232523
RingCount,3
SMR_VSA10,44.994981872232245
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,293.11642672
NumHDonors,2
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,11.814359458703011
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,10.633577208012662
SlogP_VSA2,16.79833797965022
SlogP_VSA3,9.589074368143644
SlogP_VSA4,0.0
SlogP_VSA5,13.847474399381248
