DLiP-ID,T000QD
DLiP-Mol-ID,16387
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H25BrN4O4/c22-17-9-7-15(8-10-17)16(14-21(29)30)13-20(28)26-25-19(27)6-2-4-12-24-18-5-1-3-11-23-18/h1,3,5,7-11,16H,2,4,6,12-14H2,(H,23,24)(H,25,27)(H,26,28)(H,29,30)"
Standard Inchi Key(RDKit),CBZJLJSPZAYODX-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(O)CC(CC(=O)NNC(=O)CCCCNc1ccccn1)c1ccc(Br)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),477.359
MW Monoisotopic(RDKit),476.10591738
MolLogP(RDKit),3.2223
XLogP(SDF),
XLogP(CDK),2.974
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),120.42
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),11
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.291496239507205
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,3951241.918847317
qed,0.2914962395072047
Chi0,21.769373945685235
Chi1,14.435560745775547
TPSA,120.42
Chi0n,16.435929645226654
Chi0v,18.021926184341357
Chi1n,9.636194774983894
Chi1v,10.429193044541245
Chi2n,6.745675529764383
Chi2v,7.661351058556073
Chi3n,4.337190277664529
Chi3v,4.865855790702764
Chi4n,2.8246888120755114
Chi4v,3.0890215685946294
MolMR,116.61590000000004
MolWt,477.35900000000004
fr_SH,0
Kappa1,23.340023104954305
Kappa2,12.585923854646644
Kappa3,9.03962517033237
fr_ArN,0
fr_COO,1
fr_C_O,3
fr_C_S,0
fr_NH0,1
fr_NH1,3
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,830.6598238794534
MolLogP,3.2223000000000015
NOCount,8
fr_Ar_N,1
fr_COO2,1
fr_urea,0
BalabanJ,1.6754580232777891
SMR_VSA1,19.49013894705617
SMR_VSA2,0.0
SMR_VSA3,15.835561315167979
SMR_VSA4,0.0
SMR_VSA5,38.02201416079144
SMR_VSA6,11.861545009918906
SMR_VSA7,58.69758405837376
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,183.12363667950137
NHOHCount,4
PEOE_VSA1,10.423315998847038
PEOE_VSA2,25.235194346436234
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,34.12904510333418
PEOE_VSA7,42.67056301139545
PEOE_VSA8,35.97386878537148
PEOE_VSA9,6.4208216229260096
RingCount,2
SMR_VSA10,39.53147142243924
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,476.10591738000005
NumHDonors,4
PEOE_VSA10,5.817862777835028
PEOE_VSA11,0.0
PEOE_VSA12,11.814359458703011
