DLiP-ID,C001OM
DLiP-Mol-ID,32682
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H12N2OS/c19-15-14(11-12-7-3-1-4-8-12)20-16(18-15)17-13-9-5-2-6-10-13/h1-11H,(H,17,18,19)/b14-11-"
Standard Inchi Key(RDKit),AXMGOWZVQOLCDR-KAMYIIQDSA-N
Canonical SMILES(RDKit),O=C1N=C(Nc2ccccc2)S/C1=C\c1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),280.352
MW Monoisotopic(RDKit),280.067034004
MolLogP(RDKit),3.769
XLogP(SDF),
XLogP(CDK),3.744
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),41.46
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),20
QED Weighted(RDKit),0.851372265154763
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,66590.30015528465
qed,0.8513722651547628
Chi0,13.7862462825598
Chi1,9.809663088089318
TPSA,41.46
Chi0n,10.61456313751357
Chi0v,11.431059718441297
Chi1n,6.208303505431297
Chi1v,7.024800086359023
Chi2n,4.234467944023856
Chi2v,5.265116825950223
Chi3n,2.7429000548448466
Chi3v,3.6419831451741755
Chi4n,1.8082211443502183
Chi4v,2.6419250671046117
MolMR,84.51670000000001
MolWt,280.352
fr_SH,0
Kappa1,12.691093079016794
Kappa2,5.754764573157265
