DLiP-ID,C101R2
DLiP-Mol-ID,37216
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C25H26N4O2S/c1-16-6-5-7-17(2)24(16)29-25(31)21(28-22(30)10-11-23-26-12-13-32-23)14-18-15-27-20-9-4-3-8-19(18)20/h3-9,12-13,15,21,27H,10-11,14H2,1-2H3,(H,28,30)(H,29,31)"
Standard Inchi Key(RDKit),PSRXRSKMFKEPEN-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1cccc(C)c1NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)CCc1nccs1
SMILES(SDF),
MW(SDF),
MW(RDKit),446.576
MW Monoisotopic(RDKit),446.177647072
MolLogP(RDKit),4.54004
XLogP(SDF),
XLogP(CDK),2.882
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),86.88
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),32
QED Weighted(RDKit),0.371346251391991
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Tumor necrosis factor ligand superfamily member 11/11A
Common Target Pref Name,Uncategorized
RDKit Descriptors
Ipc,26089099.760302532
qed,0.37134625139199096
Chi0,22.50142475325411
Chi1,15.50804039084698
TPSA,86.88000000000001
Chi0n,18.144131771537076
Chi0v,18.960628352464802
Chi1n,10.608189922590638
Chi1v,11.487842733845532
Chi2n,7.865623907145525
Chi2v,8.844741014946818
Chi3n,5.529382638585931
Chi3v,6.368790848540412
Chi4n,3.815028350978372
Chi4v,4.435456908382124
MolMR,128.91410000000005
MolWt,446.5760000000002
fr_SH,0
Kappa1,21.76960714384382
