DLiP-ID,J000NE
DLiP-Mol-ID,27648
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H16F5N3O2/c1-19(30,10-28-5-4-11-6-15(21)16(22)8-17(11)28)18(29)27-13-3-2-12(9-26)14(7-13)20(23,24)25/h2-3,6-8,30H,4-5,10H2,1H3,(H,27,29)/t19-/m0/s1"
Standard Inchi Key(RDKit),QKMMJTGAJXKRKF-IBGZPJMESA-N
Canonical SMILES(RDKit),C[C@](O)(CN1CCc2cc(F)c(F)cc21)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),425.357
MW Monoisotopic(RDKit),425.116267852
MolLogP(RDKit),3.60748
XLogP(SDF),
XLogP(CDK),3.409
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),76.36
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.734337011884699
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,AR/unknown partner
Common Target Pref Name,AR/unknown partner
RDKit Descriptors
Ipc,3218446.5569805405
qed,0.7343370118846995
Chi0,22.26722023457211
Chi1,13.918870648365743
TPSA,76.36
Chi0n,15.647783131517645
Chi0v,15.647783131517645
Chi1n,8.802152444316995
Chi1v,8.802152444316995
Chi2n,7.1644882090821
Chi2v,7.1644882090821
Chi3n,4.804496202184069
Chi3v,4.804496202184069
Chi4n,3.2754591133962783
Chi4v,3.2754591133962783
MolMR,97.68750000000003
MolWt,425.3570000000001
fr_SH,0
Kappa1,21.517227245351023
Kappa2,7.570436997609929
Kappa3,4.208619046862443
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1043.9581760210888
MolLogP,3.6074800000000016
NOCount,5
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.7825502711187555
SMR_VSA1,31.853139817286632
SMR_VSA2,5.261891554738487
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,25.121908151043794
SMR_VSA6,23.30621114668196
SMR_VSA7,58.65663149949082
SMR_VSA8,0.0
SMR_VSA9,6.069221312792274
fr_Al_OH,1
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,1
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,167.88791148935576
NHOHCount,2
PEOE_VSA1,15.323225729697516
PEOE_VSA2,4.794537184071822
PEOE_VSA3,8.78083009534964
PEOE_VSA4,18.433136697762947
PEOE_VSA5,0.0
PEOE_VSA6,0.0
PEOE_VSA7,43.173478588160066
PEOE_VSA8,23.985896023741308
PEOE_VSA9,23.74088070209884
RingCount,3
SMR_VSA10,17.28195227871863
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,425.116267852
NumHDonors,2
PEOE_VSA10,0.0
PEOE_VSA11,17.235492493075476
PEOE_VSA12,0.0
PEOE_VSA13,5.907179729351506
PEOE_VSA14,6.176298517443475
SlogP_VSA1,10.216698334856808
SlogP_VSA2,29.70427074700105
SlogP_VSA3,17.391657324441304
SlogP_VSA4,22.96555454962255
SlogP_VSA5,23.61409167478161
SlogP_VSA6,30.33183534230805
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,2
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,5
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,1
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,40.44587372326445
EState_VSA2,12.232142680596137
EState_VSA3,30.28278286368075
EState_VSA4,31.18920547353706
EState_VSA5,10.96913104364275
