DLiP-ID,T002HM
DLiP-Mol-ID,18744
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H17ClN4O2/c23-19-10-4-9-18-17(12-24)21(15-6-2-1-3-7-15)22(27(18)19)26-14-20(28)25-13-16-8-5-11-29-16/h1-11,26H,13-14H2,(H,25,28)"
Standard Inchi Key(RDKit),IGMYYDZDXOEORM-UHFFFAOYSA-N
Canonical SMILES(RDKit),N#Cc1c(-c2ccccc2)c(NCC(=O)NCc2ccco2)n2c(Cl)cccc12
SMILES(SDF),
MW(SDF),
MW(RDKit),404.857
MW Monoisotopic(RDKit),404.104003464
MolLogP(RDKit),4.45268
XLogP(SDF),
XLogP(CDK),4.357
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),82.47
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),29
QED Weighted(RDKit),0.46487177511281
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Neuropilin-1/VEGF-A
Common Target Pref Name,Neuropilin-1/VEGF-A
RDKit Descriptors
Ipc,7204920.324044155
qed,0.46487177511281036
Chi0,20.21696770287794
Chi1,14.185871848001629
TPSA,82.47
Chi0n,15.353954768395852
Chi0v,16.10988371441431
Chi1n,9.001615880377734
Chi1v,9.379580353386963
Chi2n,6.355240055813899
Chi2v,6.742488796995595
Chi3n,4.539465008528231
Chi3v,4.834484017143677
Chi4n,3.255335536873506
Chi4v,3.5036429754755414
MolMR,111.60240000000002
MolWt,404.857
fr_SH,0
Kappa1,18.663037302978918
Kappa2,8.129127019875304
Kappa3,3.684031055133026
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1191.2584441289953
MolLogP,4.452680000000003
NOCount,6
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.687854655576095
SMR_VSA1,9.211688121125169
SMR_VSA2,5.261891554738487
SMR_VSA3,9.717483210268124
SMR_VSA4,0.0
SMR_VSA5,6.544756405912575
SMR_VSA6,11.861545009918906
SMR_VSA7,83.4036424077194
SMR_VSA8,0.0
SMR_VSA9,17.196124296186266
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,1
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,171.8749420241109
NHOHCount,2
PEOE_VSA1,15.05072814506601
PEOE_VSA2,9.195231790333615
