DLiP-ID,C005IQ
DLiP-Mol-ID,36656
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H13ClF3N3O3S2/c1-16(25,17(19,20)21)9-6-11(18)15(24-7-9)12-3-5-14(28-12)29(26,27)10-2-4-13(22)23-8-10/h2-8,25H,1H3,(H2,22,23)"
Standard Inchi Key(RDKit),KMKJDWRQGUEOJR-UHFFFAOYSA-N
Canonical SMILES(RDKit),CC(O)(c1cnc(-c2ccc(S(=O)(=O)c3ccc(N)nc3)s2)c(Cl)c1)C(F)(F)F
SMILES(SDF),
MW(SDF),
MW(RDKit),463.89
MW Monoisotopic(RDKit),463.003895616
MolLogP(RDKit),4.0433
XLogP(SDF),
XLogP(CDK),2.568
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),106.17
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),29
QED Weighted(RDKit),0.604397071274765
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Glucokinase/Glucokinase regulatory protein
Common Target Pref Name,Glucokinase/Glucokinase regulatory protein
RDKit Descriptors
Ipc,2085347.2976470666
qed,0.6043970712747647
Chi0,21.61251969619286
Chi1,13.336372094396715
TPSA,106.17
Chi0n,14.605293993909243
Chi0v,16.994216101783156
Chi1n,7.857719911043757
Chi1v,10.535344212575106
Chi2n,6.165280615305388
Chi2v,9.83278057654065
Chi3n,4.104391121384187
Chi3v,7.715261798464458
Chi4n,2.3078047154577637
Chi4v,5.295238536480295
MolMR,102.287
MolWt,463.8900000000001
fr_SH,0
Kappa1,21.49770347032765
Kappa2,7.239328852944644
Kappa3,3.9498075847370284
fr_ArN,1
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,1160.656496193872
