DLiP-ID,C001NF
DLiP-Mol-ID,32639
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C11H9Cl2N3O2S/c12-7-3-1-4-8(10(7)13)16-11-9(19(14,17)18)5-2-6-15-11/h1-6H,(H,15,16)(H2,14,17,18)"
Standard Inchi Key(RDKit),HECOKSRQEZLTGY-UHFFFAOYSA-N
Canonical SMILES(RDKit),NS(=O)(=O)c1cccnc1Nc1cccc(Cl)c1Cl
SMILES(SDF),
MW(SDF),
MW(RDKit),318.185
MW Monoisotopic(RDKit),316.979252888
MolLogP(RDKit),2.7794
XLogP(SDF),
XLogP(CDK),3.271
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),85.08
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),19
QED Weighted(RDKit),0.911071717184763
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,15924.090265986568
qed,0.9110717171847633
Chi0,14.043605595440514
Chi1,8.892865415757242
TPSA,85.08000000000001
Chi0n,9.469339297237383
Chi0v,11.79769377020202
Chi1n,5.082288636584921
Chi1v,7.384537060524936
Chi2n,3.62153266079984
Chi2v,5.936542202853675
Chi3n,2.2818860825745166
Chi3v,4.043271231802853
Chi4n,1.4419140811717939
Chi4v,2.431167867102095
MolMR,75.35490000000001
MolWt,318.18500000000006
fr_SH,0
Kappa1,14.077236748540187
Kappa2,5.340158666672941
Kappa3,3.1602010599158543
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,719.6302792280106
MolLogP,2.7794000000000008
NOCount,5
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,2.4779984353595887
SMR_VSA1,8.417796984328938
SMR_VSA2,0.0
SMR_VSA3,4.9839785209472085
SMR_VSA4,5.138973737607942
SMR_VSA5,4.895483475517775
SMR_VSA6,5.316788604006331
SMR_VSA7,46.57394554140377
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,119.9652065333067
NHOHCount,3
