DLiP-ID,C0020H
DLiP-Mol-ID,27518
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H21ClN2.C4H7NO3/c1-21(2)11-9-17-16-8-7-15(19)12-14(16)6-5-13-4-3-10-20-18(13)17;1-3(6)5-2-4(7)8/h3-4,7-8,10,12,17H,5-6,9,11H2,1-2H3;2H2,1H3,(H,5,6)(H,7,8)"
Standard Inchi Key(RDKit),OSAUSAZZRQEEES-UHFFFAOYSA-N
Canonical SMILES(RDKit),CC(=O)NCC(=O)O.CN(C)CCC1c2ccc(Cl)cc2CCc2cccnc21
SMILES(SDF),
MW(SDF),
MW(RDKit),417.937
MW Monoisotopic(RDKit),417.181919436
MolLogP(RDKit),3.1243
XLogP(SDF),
XLogP(CDK),0.277
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),82.53
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),29
QED Weighted(RDKit),0.780523190495659
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,2066769.7753461734
qed,0.7805231904956592
Chi0,21.388540578131746
Chi1,13.773764703227073
TPSA,82.53
Chi0n,17.113087630696945
Chi0v,17.869016576715403
Chi1n,9.606485764233
Chi1v,9.984450237242227
Chi2n,7.338916954567133
Chi2v,7.775352735039118
Chi3n,4.753824957816986
Chi3v,4.988922060604725
Chi4n,3.4029872652482407
Chi4v,3.5976874916231556
MolMR,114.43050000000005
MolWt,417.9370000000001
fr_SH,0
Kappa1,22.845009510849536
Kappa2,10.92864722514265
Kappa3,7.1453097028515815
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,840.9461751295773
MolLogP,3.1243000000000016
NOCount,6
fr_Ar_N,1
fr_COO2,1
fr_urea,0
BalabanJ,3.2083330915421477e-07
SMR_VSA1,14.69560176298435
SMR_VSA2,0.0
SMR_VSA3,15.200676855804016
SMR_VSA4,0.0
SMR_VSA5,32.104108114630044
SMR_VSA6,27.18485677717953
SMR_VSA7,63.93559469760189
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,176.4527485978468
NHOHCount,2
PEOE_VSA1,15.323225729697516
PEOE_VSA2,14.573052889090853
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,23.733674027155736
PEOE_VSA7,74.79202092052081
PEOE_VSA8,24.06112013120642
PEOE_VSA9,5.693927994848461
RingCount,3
SMR_VSA10,23.47742490753587
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,417.181919436
NumHDonors,2
PEOE_VSA10,6.544756405912575
PEOE_VSA11,0.0
PEOE_VSA12,5.907179729351506
PEOE_VSA13,0.0
PEOE_VSA14,5.969305287951849
SlogP_VSA1,5.316788604006331
SlogP_VSA2,54.051757441121275
SlogP_VSA3,22.430717613995665
SlogP_VSA4,0.0
SlogP_VSA5,41.64674733871747
SlogP_VSA6,36.52867891392113
SlogP_VSA7,5.022633313741326
SlogP_VSA8,0.0
