DLiP-ID,T001GF
DLiP-Mol-ID,17146
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H22N4O5/c1-21(2)18(26)20-13(17(24)25)9-11-5-7-12(8-6-11)15-14(27-4)10-19-22(3)16(15)23/h5-8,10,13H,9H2,1-4H3,(H,20,26)(H,24,25)/t13-/m0/s1"
Standard Inchi Key(RDKit),FEAQONONFDZQLY-ZDUSSCGKSA-N
Canonical SMILES(RDKit),COc1cnn(C)c(=O)c1-c1ccc(C[C@H](NC(=O)N(C)C)C(=O)O)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),374.397
MW Monoisotopic(RDKit),374.159019804
MolLogP(RDKit),0.722800000000001
XLogP(SDF),
XLogP(CDK),-0.8
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),113.76
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),27
QED Weighted(RDKit),0.770272560887541
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,729729.4640412078
qed,0.770272560887541
Chi0,20.137463722575188
Chi1,12.739289860616426
TPSA,113.76
Chi0n,15.593055940179589
Chi0v,15.593055940179589
Chi1n,8.144599230776057
Chi1v,8.144599230776057
Chi2n,6.152492194959578
Chi2v,6.152492194959578
Chi3n,4.006708247421832
Chi3v,4.006708247421832
Chi4n,2.465148327162469
Chi4v,2.465148327162469
MolMR,98.81250000000004
MolWt,374.3970000000001
fr_SH,0
Kappa1,19.958086945522012
Kappa2,8.34671423047031
Kappa3,4.630251029087912
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,3
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,889.6152627995452
MolLogP,0.7228000000000008
NOCount,9
fr_Ar_N,2
fr_COO2,1
fr_urea,1
BalabanJ,2.2733443115448675
SMR_VSA1,19.432464716784395
SMR_VSA2,0.0
SMR_VSA3,19.99718307830303
SMR_VSA4,7.04767198267719
SMR_VSA5,12.462662452073971
SMR_VSA6,21.205141506631914
SMR_VSA7,46.37956741628034
SMR_VSA8,0.0
SMR_VSA9,16.876414816677897
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,155.7277963932725
NHOHCount,2
PEOE_VSA1,20.06008868349756
PEOE_VSA2,4.794537184071822
PEOE_VSA3,14.270877303288827
PEOE_VSA4,5.098681808301038
PEOE_VSA5,0.0
PEOE_VSA6,24.26546827384644
PEOE_VSA7,11.126902983393991
PEOE_VSA8,27.56383757095758
PEOE_VSA9,18.870092604587605
RingCount,2
SMR_VSA10,12.000419800289922
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,374.15901980399997
NumHDonors,2
PEOE_VSA10,6.041840829147961
PEOE_VSA11,5.749511833283905
PEOE_VSA12,0.0
PEOE_VSA13,5.559266895052008
PEOE_VSA14,12.000419800289922
SlogP_VSA1,15.612918452858388
SlogP_VSA2,59.034324005207196
SlogP_VSA3,18.26303078967502
SlogP_VSA4,0.0
SlogP_VSA5,5.563451491696996
SlogP_VSA6,35.25684902953134
SlogP_VSA7,0.0
SlogP_VSA8,11.126902983393991
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,1
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,18.042260629437884
EState_VSA2,11.980088517978018
EState_VSA3,22.439866308374892
EState_VSA4,0.0
EState_VSA5,36.98369774424065
EState_VSA6,31.313140256523628
EState_VSA7,0.0
EState_VSA8,10.415470412307368
EState_VSA9,4.736862953800049
SlogP_VSA10,4.794537184071822
