DLiP-ID,I0006Y
DLiP-Mol-ID,27961
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C12H14N2O3S/c1-7-4-5-10(6-11(7)18(13,15)16)12-8(2)14-17-9(12)3/h4-6H,1-3H3,(H2,13,15,16)"
Standard Inchi Key(RDKit),CRSZBBYHHDCMTP-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1ccc(-c2c(C)noc2C)cc1S(N)(=O)=O
SMILES(SDF),
MW(SDF),
MW(RDKit),266.322
MW Monoisotopic(RDKit),266.072513308
MolLogP(RDKit),1.91426
XLogP(SDF),
XLogP(CDK),1.704
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),86.19
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),18
QED Weighted(RDKit),0.899183620766537
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Bromodomain_Histone
Common Target Pref Name,Bromodomain/Histone
RDKit Descriptors
Ipc,9849.600421493124
qed,0.8991836207665367
Chi0,13.499635521070495
Chi1,8.303549018280203
TPSA,86.19
Chi0n,10.389607834113914
Chi0v,11.20610441504164
Chi1n,5.371498739490333
Chi1v,6.917818217411894
Chi2n,4.224456042541768
Chi2v,5.75430098484577
Chi3n,2.8167174719450503
Chi3v,3.869594527654751
Chi4n,1.957245012486203
Chi4v,2.7653039911552892
MolMR,67.52320000000002
MolWt,266.322
fr_SH,0
Kappa1,12.788057640859453
Kappa2,4.220137893464348
Kappa3,2.164014810950415
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,682.6077568781543
MolLogP,1.9142599999999999
NOCount,5
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,2.6916372754121594
SMR_VSA1,12.940891921302285
SMR_VSA2,0.0
SMR_VSA3,5.156663257125445
SMR_VSA4,5.138973737607942
SMR_VSA5,25.666695074589647
SMR_VSA6,0.0
SMR_VSA7,35.21672811080473
SMR_VSA8,0.0
SMR_VSA9,11.126902983393991
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,105.64932380897127
NHOHCount,2
PEOE_VSA1,4.523094936973348
PEOE_VSA2,0.0
PEOE_VSA3,13.556770721936878
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,17.289397394048667
PEOE_VSA7,37.964481650927475
