DLiP-ID,I000JL
DLiP-Mol-ID,28503
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H22FN3O3/c1-2-16-14-26(11-12-27(16)22(29)15-7-4-3-5-8-15)23(30)21(28)17-13-25-19-10-6-9-18(24)20(17)19/h3-10,13,16,25H,2,11-12,14H2,1H3/t16-/m0/s1"
Standard Inchi Key(RDKit),JIYDSLCGNMDXBR-INIZCTEOSA-N
Canonical SMILES(RDKit),CC[C@H]1CN(C(=O)C(=O)c2c[nH]c3cccc(F)c23)CCN1C(=O)c1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),407.445
MW Monoisotopic(RDKit),407.164519784
MolLogP(RDKit),3.2529
XLogP(SDF),
XLogP(CDK),3.811
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),73.48
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.533010705363543
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,CD4_gp120
Common Target Pref Name,CD4/gp120
RDKit Descriptors
Ipc,9506117.955295114
qed,0.5330107053635427
Chi0,21.250347897697548
Chi1,14.507239053047549
TPSA,73.48
Chi0n,16.599066352043184
Chi0v,16.599066352043184
Chi1n,9.961104625181195
Chi1v,9.961104625181195
Chi2n,7.371682790896365
Chi2v,7.371682790896365
Chi3n,5.616616938314658
Chi3v,5.616616938314658
Chi4n,3.9812593713825755
Chi4v,3.9812593713825755
MolMR,110.72470000000001
MolWt,407.4450000000002
fr_SH,0
Kappa1,19.819931698503975
Kappa2,8.101096926362455
Kappa3,3.4702212267122494
fr_ArN,0
fr_COO,0
fr_C_O,3
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1109.338637106729
MolLogP,3.252900000000002
NOCount,6
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.5194721784580791
SMR_VSA1,18.774026599890284
SMR_VSA2,0.0
SMR_VSA3,14.783797982648164
SMR_VSA4,0.0
SMR_VSA5,19.386399651764595
SMR_VSA6,19.634269217737724
SMR_VSA7,71.67190394374585
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,172.827739197815
NHOHCount,1
PEOE_VSA1,14.783797982648164
