DLiP-ID,P000KN
DLiP-Mol-ID,24256
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C12H11N5/c1-8-7-10(9-5-3-2-4-6-9)17-12(14-8)15-11(13)16-17/h2-7H,1H3,(H2,13,16)"
Standard Inchi Key(RDKit),ZCOHGHCESYZASH-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1cc(-c2ccccc2)n2nc(N)nc2n1
SMILES(SDF),
MW(SDF),
MW(RDKit),225.255
MW Monoisotopic(RDKit),225.101445352
MolLogP(RDKit),1.68192
XLogP(SDF),
XLogP(CDK),1.692
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),69.1
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),17
QED Weighted(RDKit),0.683727434882922
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,BRD4-1/H4
Common Target Pref Name,Bromodomain/Histone
RDKit Descriptors
Ipc,13354.81047793662
qed,0.6837274348829221
Chi0,11.828062645816686
Chi1,8.237183443017882
TPSA,69.1
Chi0n,9.330306266327215
Chi0v,9.330306266327215
Chi1n,5.291956590557253
Chi1v,5.291956590557253
Chi2n,3.830593845718326
Chi2v,3.830593845718326
Chi3n,2.526149373819346
Chi3v,2.526149373819346
Chi4n,1.8168634351266464
Chi4v,1.8168634351266464
MolMR,65.36740000000002
MolWt,225.255
fr_SH,0
Kappa1,9.771792363117061
Kappa2,3.5517311978484143
Kappa3,1.6119214816979963
fr_ArN,1
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,4
fr_NH1,0
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,671.9287781816278
MolLogP,1.6819199999999992
NOCount,5
fr_Ar_N,4
fr_COO2,0
fr_urea,0
BalabanJ,2.3505858512677964
SMR_VSA1,0.0
SMR_VSA2,0.0
SMR_VSA3,19.582036743811077
SMR_VSA4,0.0
SMR_VSA5,6.923737199690624
SMR_VSA6,5.733667477162185
SMR_VSA7,42.09213040561812
SMR_VSA8,0.0
SMR_VSA9,11.257379486545457
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,97.93888804342693
NHOHCount,2
PEOE_VSA1,5.733667477162185
PEOE_VSA2,0.0
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,9.499376414562832
PEOE_VSA5,5.098681808301038
PEOE_VSA6,30.33183534230805
PEOE_VSA7,12.990104268152233
PEOE_VSA8,11.257379486545457
PEOE_VSA9,5.693927994848461
RingCount,3
SMR_VSA10,11.725993004905689
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,225.10144535199998
NumHDonors,1
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,5.948339280986494
PEOE_VSA13,5.777653723919194
PEOE_VSA14,0.0
SlogP_VSA1,5.733667477162185
SlogP_VSA2,19.582036743811077
SlogP_VSA3,0.0
SlogP_VSA4,6.923737199690624
SlogP_VSA5,5.693927994848461
SlogP_VSA6,36.39820241076966
SlogP_VSA7,0.0
SlogP_VSA8,17.03503321046465
SlogP_VSA9,0.0
fr_amidine,0
