DLiP-ID,C101OC
DLiP-Mol-ID,40258
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H18ClF2N5O3/c21-20(22,23)31-15-3-1-13(2-4-15)26-19(30)12-9-16(17-5-7-25-27-17)18(24-10-12)28-8-6-14(29)11-28/h1-5,7,9-10,14,29H,6,8,11H2,(H,25,27)(H,26,30)/t14-/m1/s1"
Standard Inchi Key(RDKit),VOVZXURTCKPRDQ-CQSZACIVSA-N
Canonical SMILES(RDKit),O=C(Nc1ccc(OC(F)(F)Cl)cc1)c1cnc(N2CC[C@@H](O)C2)c(-c2cc[nH]n2)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),449.845
MW Monoisotopic(RDKit),449.106623556
MolLogP(RDKit),3.4629
XLogP(SDF),
XLogP(CDK),4.206
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),103.37
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.497867267238926
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Cereblon/BCR/ABL
Common Target Pref Name,Uncategorized
RDKit Descriptors
Ipc,12202624.30856527
qed,0.49786726723892555
Chi0,22.00986092169139
Chi1,14.781808200191533
TPSA,103.36999999999999
Chi0n,16.056717148221516
Chi0v,16.812646094239973
Chi1n,9.387172440018592
Chi1v,9.765136913027819
Chi2n,6.969455319057388
Chi2v,7.409472954733763
Chi3n,4.714218286757998
Chi3v,4.7913699617390435
Chi4n,3.3098963053543704
Chi4v,3.3989833859918455
MolMR,110.4787
MolWt,449.8450000000002
fr_SH,0
Kappa1,21.009659683340633
Kappa2,8.480194141522814
Kappa3,5.092166743396401
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,3
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1057.6773089395233
MolLogP,3.462900000000001
NOCount,8
fr_Ar_N,3
fr_COO2,0
fr_urea,0
BalabanJ,1.5499497462744927
SMR_VSA1,23.418757628062217
SMR_VSA2,0.0
SMR_VSA3,15.181342137549283
SMR_VSA4,0.0
SMR_VSA5,18.09255934240013
SMR_VSA6,23.30621114668196
SMR_VSA7,54.3553410456928
SMR_VSA8,0.0
SMR_VSA9,17.00689131982936
fr_Al_OH,1
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,1
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,180.35965698407963
NHOHCount,3
PEOE_VSA1,20.06008868349756
PEOE_VSA2,9.893218992372859
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,5.098681808301038
PEOE_VSA5,8.78083009534964
PEOE_VSA6,0.0
PEOE_VSA7,42.81902403369567
PEOE_VSA8,48.33497761166437
PEOE_VSA9,17.36134587429376
RingCount,4
SMR_VSA10,29.01336867210261
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,449.10662355600005
NumHDonors,3
PEOE_VSA10,11.567374611118932
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,5.907179729351506
PEOE_VSA14,5.567771331725815
SlogP_VSA1,14.953561288656857
SlogP_VSA2,50.956299793040756
SlogP_VSA3,0.0
SlogP_VSA4,0.0
SlogP_VSA5,16.77881029869483
SlogP_VSA6,48.79188955399581
SlogP_VSA7,0.0
SlogP_VSA8,11.257379486545457
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,2
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,3
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,17.57891744882562
EState_VSA2,11.3129633249809
EState_VSA3,42.272962973815204
EState_VSA4,0.0
EState_VSA5,30.462311845459517
