DLiP-ID,T007TV
DLiP-Mol-ID,26110
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C24H30N2O6/c1-14-12-20(25)24(2,32-14)23(29)26-17(22(27)28)13-15-8-10-16(11-9-15)21-18(30-3)6-5-7-19(21)31-4/h5-11,14,17,20H,12-13,25H2,1-4H3,(H,26,29)(H,27,28)/t14?,17-,20?,24+/m0/s1"
Standard Inchi Key(RDKit),YUOMCSBLOMSMSI-BQPXYCOLSA-N
Canonical SMILES(RDKit),COc1cccc(OC)c1-c1ccc(C[C@H](NC(=O)[C@]2(C)OC(C)CC2N)C(=O)O)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),442.512
MW Monoisotopic(RDKit),442.21038668
MolLogP(RDKit),2.3775
XLogP(SDF),
XLogP(CDK),0.660000000000001
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),120.11
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),32
QED Weighted(RDKit),0.574013562481315
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,11553025.33741269
qed,0.5740135624813151
Chi0,23.465890847321376
Chi1,15.188926258395405
TPSA,120.11
Chi0n,18.753521571278252
Chi0v,18.753521571278252
Chi1n,10.466817774427353
Chi1v,10.466817774427353
