DLiP-ID,T003JW
DLiP-Mol-ID,20391
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H26N4O2/c1-3-5-10-17-15(21)19-13-8-7-9-14(12-13)20-16(22)18-11-6-4-2/h7-9,12H,3-6,10-11H2,1-2H3,(H2,17,19,21)(H2,18,20,22)"
Standard Inchi Key(RDKit),LNUQBQVIWFFBHT-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCCCNC(=O)Nc1cccc(NC(=O)NCCCC)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),306.41
MW Monoisotopic(RDKit),306.205576072
MolLogP(RDKit),3.5298
XLogP(SDF),
XLogP(CDK),2.51
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),82.26
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),1
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),22
QED Weighted(RDKit),0.554098227097959
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Cyclophilins
Common Target Pref Name,Cyclophilins
RDKit Descriptors
Ipc,69115.8092814936
qed,0.5540982270979594
Chi0,16.208896013370172
Chi1,10.651397005390978
TPSA,82.26
Chi0n,13.368538344805517
Chi0v,13.368538344805517
Chi1n,7.850935839069425
Chi1v,7.850935839069425
Chi2n,5.049713055127259
Chi2v,5.049713055127259
Chi3n,3.0100827216751336
Chi3v,3.0100827216751336
Chi4n,1.782675291495005
Chi4v,1.782675291495005
MolMR,90.30080000000004
MolWt,306.4100000000001
fr_SH,0
Kappa1,17.810607287449393
Kappa2,10.481559024589327
Kappa3,7.517947224258325
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,0
fr_NH1,4
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,437.71853974492853
MolLogP,3.5298000000000016
NOCount,6
fr_Ar_N,0
fr_COO2,0
fr_urea,2
BalabanJ,2.4411024609581427
SMR_VSA1,9.589074368143644
SMR_VSA2,0.0
SMR_VSA3,10.633577208012662
SMR_VSA4,0.0
SMR_VSA5,39.53076089108528
SMR_VSA6,23.723090019837812
SMR_VSA7,24.26546827384644
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,4
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,131.6033171979828
NHOHCount,4
PEOE_VSA1,21.267154416025324
PEOE_VSA2,0.0
PEOE_VSA3,9.589074368143644
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,32.75548471369488
PEOE_VSA7,31.040744451236847
PEOE_VSA8,24.464285361192275
PEOE_VSA9,0.0
RingCount,1
SMR_VSA10,23.43700157404327
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,306.205576072
NumHDonors,4
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,12.062229024676144
SlogP_VSA1,21.267154416025324
SlogP_VSA2,25.151741836501294
SlogP_VSA3,0.0
SlogP_VSA4,0.0
SlogP_VSA5,39.53076089108528
SlogP_VSA6,24.26546827384644
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,2
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
