DLiP-ID,C000FY
DLiP-Mol-ID,30761
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H13ClN2O2/c1-21-10-6-7-16(20)12(8-10)15-9-14(18-19-15)11-4-2-3-5-13(11)17/h2-9,20H,1H3,(H,18,19)"
Standard Inchi Key(RDKit),PKSOTLMRJPMQCC-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccc(O)c(-c2cc(-c3ccccc3Cl)[nH]n2)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),300.745
MW Monoisotopic(RDKit),300.066555336
MolLogP(RDKit),4.1113
XLogP(SDF),
XLogP(CDK),4.734
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),58.14
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.764995226947327
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,102091.22758361154
qed,0.7649952269473267
Chi0,14.819626477379408
Chi1,10.185871848001627
TPSA,58.14
Chi0n,11.299442107990014
Chi0v,12.05537105400847
