DLiP-ID,C001NT
DLiP-Mol-ID,32653
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H17Cl2N3O/c21-15-3-1-14(2-4-15)20(26)25-11-9-24(10-12-25)19-7-8-23-18-13-16(22)5-6-17(18)19/h1-8,13H,9-12H2"
Standard Inchi Key(RDKit),AAYTXOPXLXAKHP-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(c1ccc(Cl)cc1)N1CCN(c2ccnc3cc(Cl)ccc23)CC1
SMILES(SDF),
MW(SDF),
MW(RDKit),386.282
MW Monoisotopic(RDKit),385.074867524
MolLogP(RDKit),4.504
XLogP(SDF),
XLogP(CDK),4.847
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),36.44
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.650673274942133
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,1197845.1590356121
qed,0.6506732749421326
Chi0,18.0956473593183
Chi1,12.614193540729628
TPSA,36.440000000000005
Chi0n,14.030397570435017
Chi0v,15.542255462471928
Chi1n,8.457428509992258
Chi1v,9.213357456010714
Chi2n,6.277690632033237
Chi2v,7.1505621929772065
Chi3n,4.680500735953645
Chi3v,5.167574154080867
Chi4n,3.307388159151611
Chi4v,3.5997198718626495
MolMR,106.32150000000003
MolWt,386.2820000000002
fr_SH,0
Kappa1,17.13079577494424
Kappa2,7.137126508155892
Kappa3,3.3479517803326257
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,3
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,950.9324513445529
MolLogP,4.504000000000003
NOCount,4
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.5016104475784406
SMR_VSA1,4.794537184071822
SMR_VSA2,0.0
SMR_VSA3,9.883888251797686
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,31.07893535450078
SMR_VSA7,70.3364982384856
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,161.49641115091038
NHOHCount,0
PEOE_VSA1,9.799819461700956
PEOE_VSA2,9.77851570501903
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,23.20187978046503
PEOE_VSA7,48.53093654769288
PEOE_VSA8,59.058197803591376
PEOE_VSA9,5.516700717616262
RingCount,4
SMR_VSA10,45.69937071658116
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,385.074867524
NumHDonors,0
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,5.907179729351506
PEOE_VSA14,0.0
SlogP_VSA1,4.899909730850478
SlogP_VSA2,41.97009360479949
SlogP_VSA3,0.0
SlogP_VSA4,0.0
SlogP_VSA5,10.357988675768818
SlogP_VSA6,54.727780119305955
SlogP_VSA7,10.045266627482652
SlogP_VSA8,10.902924932081056
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,2
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
