DLiP-ID,T000HU
DLiP-Mol-ID,16012
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H29N5O4/c27-18(15-19(28)29)23-11-13-25(14-12-23)20(30)24-8-3-21(4-9-24)5-10-26(16-21)17-1-6-22-7-2-17/h1-2,6-7H,3-5,8-16H2,(H,28,29)"
Standard Inchi Key(RDKit),BJNRYPZFJRNGJS-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(O)CC(=O)N1CCN(C(=O)N2CCC3(CC2)CCN(c2ccncc2)C3)CC1
SMILES(SDF),
MW(SDF),
MW(RDKit),415.494
MW Monoisotopic(RDKit),415.221954408
MolLogP(RDKit),1.1128
XLogP(SDF),
XLogP(CDK),0.594
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),97.29
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.74319745450672
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,8651225.234776147
qed,0.7431974545067198
Chi0,21.139617433688308
Chi1,14.455927458031288
TPSA,97.28999999999999
Chi0n,17.202708895388415
Chi0v,17.202708895388415
Chi1n,10.641963611490649
Chi1v,10.641963611490649
Chi2n,8.584940175151054
Chi2v,8.584940175151054
Chi3n,6.766164711198619
Chi3v,6.766164711198619
Chi4n,4.879141662342073
Chi4v,4.879141662342073
MolMR,110.10880000000006
MolWt,415.4940000000002
fr_SH,0
Kappa1,20.433490983543116
Kappa2,8.491822030560808
Kappa3,4.341658906133817
fr_ArN,0
fr_COO,1
fr_C_O,3
fr_C_S,0
fr_NH0,5
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,785.8462777474961
MolLogP,1.1128000000000005
NOCount,9
fr_Ar_N,1
fr_COO2,1
fr_urea,1
BalabanJ,1.2528388709580067
SMR_VSA1,19.49013894705617
SMR_VSA2,0.0
SMR_VSA3,19.68370771349864
SMR_VSA4,5.41499046939678
SMR_VSA5,25.683286491704038
SMR_VSA6,57.25796097815107
SMR_VSA7,24.52642128014937
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,3
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,175.79076620334232
NHOHCount,1
