DLiP-ID,T003SD
DLiP-Mol-ID,20760
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H14ClN5/c18-16-14-7-11-3-1-2-4-12(11)8-15(14)17(23-22-16)20-6-5-13-9-19-10-21-13/h1-4,7-10H,5-6H2,(H,19,21)(H,20,23)"
Standard Inchi Key(RDKit),MEBPGJFQPAJIME-UHFFFAOYSA-N
Canonical SMILES(RDKit),Clc1nnc(NCCc2c[nH]cn2)c2cc3ccccc3cc12
SMILES(SDF),
MW(SDF),
MW(RDKit),323.787
MW Monoisotopic(RDKit),323.093773128
MolLogP(RDKit),3.8141
XLogP(SDF),
XLogP(CDK),3.689
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),66.49
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),23
QED Weighted(RDKit),0.560333216852922
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,SOD1 dimer
Common Target Pref Name,SOD1 dimer
RDKit Descriptors
Ipc,410832.7419918343
qed,0.5603332168529221
Chi0,15.6480536021256
Chi1,11.309663088089318
TPSA,66.49000000000001
Chi0n,12.252620975399205
Chi0v,13.00854992141766
Chi1n,7.3731845120415755
Chi1v,7.751148985050802
Chi2n,5.321676551572412
Chi2v,5.67968963902273
Chi3n,3.829469063709154
Chi3v,4.108662021681303
Chi4n,2.6757051974293096
Chi4v,2.8698561489743817
MolMR,92.83540000000002
MolWt,323.7870000000001
fr_SH,0
Kappa1,13.96568315038891
Kappa2,5.852264433735928
Kappa3,2.7079621956941695
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,3
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,965.4725304139159
MolLogP,3.8141000000000016
NOCount,5
fr_Ar_N,4
fr_COO2,0
fr_urea,0
BalabanJ,1.7066077199906708
SMR_VSA1,0.0
SMR_VSA2,0.0
SMR_VSA3,20.16532065849649
SMR_VSA4,0.0
SMR_VSA5,6.4208216229260096
SMR_VSA6,11.861545009918906
SMR_VSA7,59.769403868888524
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,137.27139696057287
NHOHCount,2
PEOE_VSA1,10.30076712495354
PEOE_VSA2,0.0
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,0.0
PEOE_VSA5,10.197363616602075
