DLiP-ID,T006VQ
DLiP-Mol-ID,24646
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C13H8ClFO2/c14-11-7-10(5-6-12(11)15)8-1-3-9(4-2-8)13(16)17/h1-7H,(H,16,17)"
Standard Inchi Key(RDKit),WAWQPHGUJGYFMZ-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(O)c1ccc(-c2ccc(F)c(Cl)c2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),250.656
MW Monoisotopic(RDKit),250.019685396
MolLogP(RDKit),3.8443
XLogP(SDF),
XLogP(CDK),4.36
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),1
HBA Lipinski(RDKit),2
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),37.3
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),17
QED Weighted(RDKit),0.879155866928172
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,E1/E2
Common Target Pref Name,E1/E2
RDKit Descriptors
Ipc,7594.533593706891
qed,0.879155866928172
Chi0,12.41384908344359
Chi1,8.075387400469408
TPSA,37.3
Chi0n,8.652842716309657
Chi0v,9.40877166232811
Chi1n,4.865096492749641
Chi1v,5.243060965758868
Chi2n,3.5113907968257476
Chi2v,3.9185909235663536
Chi3n,2.3847851489195846
Chi3v,2.674431610584149
Chi4n,1.4809475330294994
Chi4v,1.6614901632582402
MolMR,63.80530000000002
MolWt,250.65599999999998
fr_SH,0
Kappa1,11.610596086739449
Kappa2,4.5532379664256
Kappa3,2.450094268280654
fr_ArN,0
fr_COO,1
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,564.1321875173596
MolLogP,3.8443000000000023
NOCount,2
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,2.393859244826412
SMR_VSA1,14.291479626587348
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,0.0
SMR_VSA7,58.86787512571548
SMR_VSA8,0.0
SMR_VSA9,11.126902983393991
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,102.27799692200529
NHOHCount,1
PEOE_VSA1,5.106527394840706
