DLiP-ID,T004AK
DLiP-Mol-ID,17115
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H18O4/c1-26-20-12-11-14(23(27-2)22(20)25)13-19-15-7-3-5-9-17(15)21(24)18-10-6-4-8-16(18)19/h3-13,25H,1-2H3"
Standard Inchi Key(RDKit),NNUPYSBSBBSLHI-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccc(C=C2c3ccccc3C(=O)c3ccccc32)c(OC)c1O
SMILES(SDF),
MW(SDF),
MW(RDKit),358.393
MW Monoisotopic(RDKit),358.120509056
MolLogP(RDKit),4.5427
XLogP(SDF),
XLogP(CDK),4.991
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),55.76
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),27
QED Weighted(RDKit),0.583997673019505
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Tubulin dimer
Common Target Pref Name,Tubulin dimer
RDKit Descriptors
Ipc,1956709.6194033741
qed,0.5839976730195046
Chi0,18.965890847321383
Chi1,13.151397005390981
TPSA,55.760000000000005
Chi0n,15.022811427977436
Chi0v,15.022811427977436
Chi1n,8.545210224465336
Chi1v,8.545210224465336
Chi2n,6.217209549241288
Chi2v,6.217209549241288
Chi3n,4.772524968468389
Chi3v,4.772524968468389
Chi4n,3.494747948331421
Chi4v,3.494747948331421
MolMR,104.50030000000002
MolWt,358.39300000000014
fr_SH,0
