DLiP-ID,C001NG
DLiP-Mol-ID,32640
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C6H11NO2/c1-2-5(7)3-4-6(8)9/h2,5H,1,3-4,7H2,(H,8,9)/t5-/m0/s1"
Standard Inchi Key(RDKit),PJDFLNIOAUIZSL-YFKPBYRVSA-N
Canonical SMILES(RDKit),C=C[C@H](N)CCC(=O)O
SMILES(SDF),
MW(SDF),
MW(RDKit),129.159
MW Monoisotopic(RDKit),129.078978592
MolLogP(RDKit),0.3645
XLogP(SDF),
XLogP(CDK),0.0499999999999999
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),63.32
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),0
Aromatic Rings(RDKit),0
nAtoms(SDF),
Heavy Atoms(RDKit),9
QED Weighted(RDKit),0.538673629503268
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,78.51304536092788
qed,0.5386736295032681
Chi0,7.276020881938894
Chi1,4.163902460147014
TPSA,63.32000000000001
Chi0n,5.208833037092341
Chi0v,5.208833037092341
Chi1n,2.764447581169577
Chi1v,2.764447581169577
Chi2n,1.8319705487345892
Chi2v,1.8319705487345892
Chi3n,0.994285802276316
Chi3v,0.994285802276316
Chi4n,0.40799308440009385
Chi4v,0.40799308440009385
MolMR,35.042199999999994
MolWt,129.159
fr_SH,0
Kappa1,8.17
Kappa2,4.0892660852838025
Kappa3,5.034193606854939
fr_ArN,0
fr_COO,1
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,111.6254878262668
MolLogP,0.36450000000000005
NOCount,3
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,3.264770519247031
SMR_VSA1,9.901064578912528
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,5.733667477162185
SMR_VSA5,18.88348407499998
SMR_VSA6,0.0
SMR_VSA7,12.654955790432378
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,54.17000511688082
NHOHCount,3
PEOE_VSA1,10.84019487200289
PEOE_VSA2,4.794537184071822
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,6.578935683598497
PEOE_VSA6,6.076020106833881
PEOE_VSA7,6.4208216229260096
