DLiP-ID,T007MI
DLiP-Mol-ID,25798
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H16F6N6OS/c20-18(21,22)11-4-1-3-10(7-11)13-9-33-17(30-13)31-15(19(23,24)25)12(8-29-31)16(32)28-6-2-5-14(26)27/h1,3-4,7-9H,2,5-6H2,(H3,26,27)(H,28,32)"
Standard Inchi Key(RDKit),YIHPBANAYPNMTP-UHFFFAOYSA-N
Canonical SMILES(RDKit),N=C(N)CCCNC(=O)c1cnn(-c2nc(-c3cccc(C(F)(F)F)c3)cs2)c1C(F)(F)F
SMILES(SDF),
MW(SDF),
MW(RDKit),490.433
MW Monoisotopic(RDKit),490.101049452
MolLogP(RDKit),4.47937
XLogP(SDF),
XLogP(CDK),4.075
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),109.68
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.19637299168383
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,15467757.278839303
qed,0.19637299168382966
Chi0,24.38854057813175
Chi1,15.375047228991527
TPSA,109.67999999999999
Chi0n,16.58869643336999
Chi0v,17.40519301429772
Chi1n,9.274969440651043
Chi1v,10.15462225190594
Chi2n,6.794990455999488
Chi2v,7.63154334846063
Chi3n,4.3497251634385465
Chi3v,5.165879033778727
Chi4n,2.8573932310181833
Chi4v,3.6525454968258244
MolMR,108.15730000000002
MolWt,490.43300000000005
