DLiP-ID,T005BG
DLiP-Mol-ID,22220
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C28H30N2O4/c1-19-23(9-7-17-29-19)28(15-5-6-16-28)27(33)30-24(26(31)32)18-20-11-13-21(14-12-20)22-8-3-4-10-25(22)34-2/h3-4,7-14,17,24H,5-6,15-16,18H2,1-2H3,(H,30,33)(H,31,32)/t24-/m0/s1"
Standard Inchi Key(RDKit),QRGLWLIXNHRUSY-DEOSSOPVSA-N
Canonical SMILES(RDKit),COc1ccccc1-c1ccc(C[C@H](NC(=O)C2(c3cccnc3C)CCCC2)C(=O)O)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),458.558
MW Monoisotopic(RDKit),458.22055744
MolLogP(RDKit),4.68952
XLogP(SDF),
XLogP(CDK),3.066
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),88.52
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),34
QED Weighted(RDKit),0.511292645656552
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,62734665.13672735
qed,0.5112926456565522
Chi0,24.131181265251033
Chi1,16.44152601768478
TPSA,88.52
Chi0n,19.582909198599754
Chi0v,19.582909198599754
Chi1n,11.626351218337112
Chi1v,11.626351218337112
Chi2n,8.891202664664021
Chi2v,8.891202664664021
Chi3n,6.829415303478376
Chi3v,6.829415303478376
Chi4n,5.022992559312324
