DLiP-ID,C003I3
DLiP-Mol-ID,34041
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H13Cl2N5/c17-10-5-4-9(12(18)8-10)7-11-14(19)22-16(23-15(11)20)13-3-1-2-6-21-13/h1-6,8H,7H2,(H4,19,20,22,23)"
Standard Inchi Key(RDKit),LUGXKWLXOYRDIS-UHFFFAOYSA-N
Canonical SMILES(RDKit),Nc1nc(-c2ccccn2)nc(N)c1Cc1ccc(Cl)cc1Cl
SMILES(SDF),
MW(SDF),
MW(RDKit),346.221
MW Monoisotopic(RDKit),345.054800776
MolLogP(RDKit),3.6006
XLogP(SDF),
XLogP(CDK),3.416
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),90.71
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),23
QED Weighted(RDKit),0.756112617937619
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
Common Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
RDKit Descriptors
Ipc,180670.39612826618
qed,0.7561126179376193
Chi0,16.396976746569035
Chi1,11.041713895658194
TPSA,90.71
Chi0n,12.00082893641151
Chi0v,13.512686828448421
Chi1n,6.815363408189856
Chi1v,7.571292354208311
Chi2n,4.923733900054867
Chi2v,5.767369807267459
Chi3n,3.3474172752000166
Chi3v,3.9343628891799605
Chi4n,2.165556564459451
Chi4v,2.6408658037696338
MolMR,93.35580000000002
MolWt,346.221
fr_SH,0
Kappa1,15.522823494010844
Kappa2,6.398996340717425
Kappa3,3.35733176035506
fr_ArN,2
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,3
fr_NH1,0
fr_NH2,2
fr_N_O,0
fr_azo,0
BertzCT,829.3394861806333
MolLogP,3.600600000000002
NOCount,5
fr_Ar_N,3
fr_COO2,0
fr_urea,0
BalabanJ,1.9774098923814951
SMR_VSA1,0.0
SMR_VSA2,0.0
SMR_VSA3,14.951935562841626
SMR_VSA4,0.0
SMR_VSA5,6.4208216229260096
