DLiP-ID,C0005H
DLiP-Mol-ID,30310
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H20N2O4S/c1-5-22(19,20)17(4)13-11-8-10(9-16)6-7-12(11)21-15(2,3)14(13)18/h6-8,13-14,18H,5H2,1-4H3/t13-,14+/m1/s1"
Standard Inchi Key(RDKit),HVSJHHXUORMCGK-KGLIPLIRSA-N
Canonical SMILES(RDKit),CCS(=O)(=O)N(C)[C@@H]1c2cc(C#N)ccc2OC(C)(C)[C@H]1O
SMILES(SDF),
MW(SDF),
MW(RDKit),324.402
MW Monoisotopic(RDKit),324.11437812
MolLogP(RDKit),1.41278
XLogP(SDF),
XLogP(CDK),1.461
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),90.63
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),22
QED Weighted(RDKit),0.907641930737926
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,53635.917441519196
qed,0.9076419307379257
Chi0,16.706742302257044
Chi1,10.136194227245033
TPSA,90.63000000000001
Chi0n,13.068492075490004
Chi0v,13.88498865641773
Chi1n,7.005873372393417
Chi1v,8.61503867991982
Chi2n,5.8763668057165335
Chi2v,8.193512528280284
Chi3n,4.0371949223907535
