DLiP-ID,T004NY
DLiP-Mol-ID,20222
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H31NO4/c25-21(19-13-5-2-6-14-19)22(26)24-16-8-7-15-20(24)23(27)28-17-9-12-18-10-3-1-4-11-18/h1,3-4,10-11,19-20H,2,5-9,12-17H2"
Standard Inchi Key(RDKit),OQVHIQBTTGZGJM-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(C(=O)N1CCCCC1C(=O)OCCCc1ccccc1)C1CCCCC1
SMILES(SDF),
MW(SDF),
MW(RDKit),385.504
MW Monoisotopic(RDKit),385.225308472
MolLogP(RDKit),3.6929
XLogP(SDF),
XLogP(CDK),4.315
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),63.68
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.407886276099565
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,FKBP1A/FK506
Common Target Pref Name,FKBP1A/FK506
RDKit Descriptors
Ipc,2823893.455947062
qed,0.4078862760995652
Chi0,19.769373945685235
Chi1,13.66470379794645
TPSA,63.68000000000001
Chi0n,16.606940015921367
Chi0v,16.606940015921367
Chi1n,10.719537302733965
