DLiP-ID,I000JW
DLiP-Mol-ID,28514
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C24H24N4O/c29-16-20-14-21(8-11-26-20)28-12-9-17-13-19(5-6-24(17)28)25-10-7-18-15-27-23-4-2-1-3-22(18)23/h1-6,8,11,13-15,25,27,29H,7,9-10,12,16H2"
Standard Inchi Key(RDKit),JKOCVEDKVVOPLO-UHFFFAOYSA-N
Canonical SMILES(RDKit),OCc1cc(N2CCc3cc(NCCc4c[nH]c5ccccc45)ccc32)ccn1
SMILES(SDF),
MW(SDF),
MW(RDKit),384.483
MW Monoisotopic(RDKit),384.195011388
MolLogP(RDKit),4.404
XLogP(SDF),
XLogP(CDK),3.411
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),64.18
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),29
QED Weighted(RDKit),0.46090713075711
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,MDM2-Like_P53
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,10830180.486079317
qed,0.4609071307571099
Chi0,19.631181265251037
Chi1,14.31399438573889
TPSA,64.18
