DLiP-ID,T004NZ
DLiP-Mol-ID,20225
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H31N5O3/c1-13(2)17(24-18(26)14(3)21-4)20(28)25-11-5-6-16(25)19(27)23-12-15-7-9-22-10-8-15/h7-10,13-14,16-17,21H,5-6,11-12H2,1-4H3,(H,23,27)(H,24,26)/t14-,16-,17-/m0/s1"
Standard Inchi Key(RDKit),ORIKUNAARFWEHA-XIRDDKMYSA-N
Canonical SMILES(RDKit),CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)NCc1ccncc1)C(C)C
SMILES(SDF),
MW(SDF),
MW(RDKit),389.5
MW Monoisotopic(RDKit),389.242689852
MolLogP(RDKit),0.437500000000003
XLogP(SDF),
XLogP(CDK),0.256
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),103.43
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.598538413130235
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,XIAP/Caspase9 or SMAC (BIR3 domanin)
Common Target Pref Name,XIAP/SMAC
RDKit Descriptors
Ipc,1783473.7816207556
qed,0.598538413130235
Chi0,20.681433796945203
Chi1,13.345443010499071
TPSA,103.43
Chi0n,17.066401340654707
Chi0v,17.066401340654707
Chi1n,9.794935490087076
Chi1v,9.794935490087076
Chi2n,7.503563472230197
Chi2v,7.503563472230197
Chi3n,5.111403225315274
Chi3v,5.111403225315274
Chi4n,3.2122657734634363
Chi4v,3.2122657734634363
MolMR,106.10910000000005
MolWt,389.5000000000001
fr_SH,0
Kappa1,21.815971735950445
Kappa2,10.17029529649015
Kappa3,5.511815574658297
fr_ArN,0
fr_COO,0
fr_C_O,3
fr_C_S,0
fr_NH0,2
fr_NH1,3
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,679.6785485163954
MolLogP,0.4375000000000029
NOCount,8
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,2.024117137942343
SMR_VSA1,14.383611552215466
SMR_VSA2,0.0
SMR_VSA3,25.83425406381668
SMR_VSA4,5.917906046161393
SMR_VSA5,58.28313373828034
SMR_VSA6,13.592428388589765
SMR_VSA7,30.08987277184637
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,3
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,166.01333818402216
NHOHCount,3
PEOE_VSA1,20.850275542869472
PEOE_VSA2,19.367590073162674
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,13.847474399381248
PEOE_VSA7,50.42714410300144
PEOE_VSA8,25.4831999550513
PEOE_VSA9,6.041840829147961
RingCount,2
SMR_VSA10,17.721539188054518
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,389.242689852
NumHDonors,3
PEOE_VSA10,12.083681658295921
PEOE_VSA11,0.0
PEOE_VSA12,17.721539188054518
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,15.950365812018994
SlogP_VSA2,59.32337831588585
SlogP_VSA3,20.928367958128042
SlogP_VSA4,5.917906046161393
SlogP_VSA5,39.17630633662088
SlogP_VSA6,24.52642128014937
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,0
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,18.12552248744388
