DLiP-ID,C001HR
DLiP-Mol-ID,32386
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H15N3O2S/c1-21-13-7-3-11(4-8-13)15-16(19-20-17(23)18-15)12-5-9-14(22-2)10-6-12/h3-10H,1-2H3,(H,18,20,23)"
Standard Inchi Key(RDKit),TZLNWWQWTXKCSO-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccc(-c2nnc(S)nc2-c2ccc(OC)cc2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),325.393
MW Monoisotopic(RDKit),325.08849772
MolLogP(RDKit),3.5115
XLogP(SDF),
XLogP(CDK),3.254
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),57.13
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),23
QED Weighted(RDKit),0.743969596628285
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,233955.04771989468
qed,0.7439695966282845
Chi0,16.233840039752504
Chi1,11.207039898056804
TPSA,57.13000000000001
Chi0n,12.724153116444567
Chi0v,13.618580307444484
Chi1n,6.935513270233322
Chi1v,7.38272686573328
Chi2n,4.76602007481947
Chi2v,5.166020074819471
Chi3n,3.4024606145450536
Chi3v,3.591903333645045
Chi4n,2.210890554324635
Chi4v,2.3556119138746316
MolMR,91.055
MolWt,325.3930000000001
fr_SH,1
Kappa1,15.301626275510207
Kappa2,6.66159276238387
Kappa3,3.2671457814168754
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,3
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,805.0723952235064
MolLogP,3.5115000000000016
NOCount,5
fr_Ar_N,3
fr_COO2,0
fr_urea,0
BalabanJ,2.09012209733744
SMR_VSA1,9.473725907600098
SMR_VSA2,0.0
SMR_VSA3,15.181342137549283
SMR_VSA4,0.0
SMR_VSA5,5.156436481820707
SMR_VSA6,14.219595082555067
SMR_VSA7,48.53093654769288
SMR_VSA8,0.0
SMR_VSA9,34.01378263965872
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
