DLiP-ID,C005GQ
DLiP-Mol-ID,36584
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H14N4O2S/c24-26(25,15-3-1-9-21-13-15)23-18-6-5-16(14-7-11-20-12-8-14)17-4-2-10-22-19(17)18/h1-13,23H"
Standard Inchi Key(RDKit),OYGZXCQBAJLSEJ-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=S(=O)(Nc1ccc(-c2ccncc2)c2cccnc12)c1cccnc1
SMILES(SDF),
MW(SDF),
MW(RDKit),362.414
MW Monoisotopic(RDKit),362.083746688
MolLogP(RDKit),3.4926
XLogP(SDF),
XLogP(CDK),2.254
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),84.84
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.600566475875085
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Cyclin-dependent kinases regulatory subunit 1/S-phase kinase-associated protein 2
Common Target Pref Name,Cyclin-dependent kinases regulatory subunit 1/S-phase kinase-associated protein 2
RDKit Descriptors
Ipc,1287012.7479712388
qed,0.6005664758750847
Chi0,17.984916895309066
Chi1,12.64979647269619
TPSA,84.84
Chi0n,13.571939157356603
Chi0v,14.388435738284329
Chi1n,7.860242145780006
Chi1v,9.343405393374399
Chi2n,5.590368050374152
Chi2v,7.27277029178367
Chi3n,3.9500178943902213
Chi3v,5.300754295168743
Chi4n,2.7479455153938264
Chi4v,3.777376488891246
MolMR,100.01950000000001
MolWt,362.4140000000001
fr_SH,0
Kappa1,16.16484583806446
Kappa2,6.530381579599802
Kappa3,2.9988566937284933
fr_ArN,0
fr_COO,0
