DLiP-ID,C003KL
DLiP-Mol-ID,34131
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C12H14BrN3O3/c13-10-3-1-9(2-4-10)11(14)15-19-12(17)16-5-7-18-8-6-16/h1-4H,5-8H2,(H2,14,15)"
Standard Inchi Key(RDKit),CCXSXGXXIGHRHJ-UHFFFAOYSA-N
Canonical SMILES(RDKit),N=C(NOC(=O)N1CCOCC1)c1ccc(Br)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),328.166
MW Monoisotopic(RDKit),327.021853408
MolLogP(RDKit),1.74787
XLogP(SDF),
XLogP(CDK),2.408
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),74.65
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),19
QED Weighted(RDKit),0.467876344110009
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
Common Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
RDKit Descriptors
Ipc,24069.34700893532
qed,0.4678763441100086
Chi0,13.664925939000156
Chi1,9.164703797946448
TPSA,74.65
Chi0n,10.18775114140547
Chi0v,11.773747680520174
Chi1n,5.806134476219608
Chi1v,6.59913274577696
Chi2n,3.9513452841936942
Chi2v,4.867020812985384
Chi3n,2.6425829010508646
Chi3v,3.1712484140890993
Chi4n,1.580642350072924
Chi4v,1.8449751065920417
MolMR,72.97940000000003
MolWt,328.16599999999994
fr_SH,0
Kappa1,13.822967863894139
Kappa2,6.532894383230313
Kappa3,3.9343606830487294
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,2
fr_NH2,0
fr_N_O,1
fr_azo,0
BertzCT,457.7923418773553
MolLogP,1.74787
NOCount,6
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.8232717442125423
SMR_VSA1,14.368988721608504
SMR_VSA2,5.409283605791522
SMR_VSA3,10.38000632897168
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,26.303276740850986
SMR_VSA7,34.30163928137585
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,118.82047016960047
NHOHCount,2
PEOE_VSA1,14.47436126838716
PEOE_VSA2,5.409283605791522
PEOE_VSA3,4.794537184071822
PEOE_VSA4,5.480096598121202
PEOE_VSA5,0.0
PEOE_VSA6,28.06267803487257
PEOE_VSA7,12.13273413692322
PEOE_VSA8,23.12568381935456
PEOE_VSA9,13.213763929025836
RingCount,2
SMR_VSA10,27.85880375464503
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,327.021853408
NumHDonors,2
PEOE_VSA10,0.0
PEOE_VSA11,5.835619785757269
PEOE_VSA12,0.0
