DLiP-ID,T001SI
DLiP-Mol-ID,17669
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H15ClN2O3/c21-16-7-5-15(6-8-16)20(25)18-4-2-1-3-17(18)19(24)23(20)13-14-9-11-22(26)12-10-14/h1-12,25H,13H2"
Standard Inchi Key(RDKit),GFANBSPWJDYWKJ-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C1c2ccccc2C(O)(c2ccc(Cl)cc2)N1Cc1cc[n+]([O-])cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),366.804
MW Monoisotopic(RDKit),366.07712002
MolLogP(RDKit),2.8228
XLogP(SDF),
XLogP(CDK),3.996
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),67.48
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.572218132881219
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,p53/MDM2
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,1126792.808240253
qed,0.5722181328812194
Chi0,18.311190308942127
Chi1,12.497055696919675
TPSA,67.48
Chi0n,13.671411851898888
Chi0v,14.427340797917344
Chi1n,8.075414307017809
Chi1v,8.453378780027037
Chi2n,6.182268411263919
Chi2v,6.618704191735904
Chi3n,4.627343417353858
Chi3v,4.879319732693343
Chi4n,3.3228302738987794
Chi4v,3.448818431568522
MolMR,96.16830000000002
MolWt,366.8040000000001
fr_SH,0
