DLiP-ID,C000NE
DLiP-Mol-ID,31086
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C9H13NO3/c1-10-5-9(13)6-2-3-7(11)8(12)4-6/h2-4,9-13H,5H2,1H3/t9-/m0/s1"
Standard Inchi Key(RDKit),UCTWMZQNUQWSLP-VIFPVBQESA-N
Canonical SMILES(RDKit),CNC[C@H](O)c1ccc(O)c(O)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),183.207
MW Monoisotopic(RDKit),183.089543276
MolLogP(RDKit),0.3506
XLogP(SDF),
XLogP(CDK),0.277
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),72.72
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),1
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),13
QED Weighted(RDKit),0.510156889241997
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,795.6618714763005
qed,0.5101568892419974
Chi0,9.844934982691242
Chi1,6.147065707741406
TPSA,72.72
Chi0n,7.358148644444926
Chi0v,7.358148644444926
Chi1n,3.993923172611655
Chi1v,3.993923172611655
Chi2n,2.8216270344884666
Chi2v,2.8216270344884666
Chi3n,1.781717076266536
Chi3v,1.781717076266536
Chi4n,1.0589310066052204
Chi4v,1.0589310066052204
MolMR,48.658100000000026
MolWt,183.207
fr_SH,0
Kappa1,9.82517887563884
Kappa2,4.112564658547651
Kappa3,2.3360814106192827
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,0
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,288.1883450849283
MolLogP,0.35060000000000013
NOCount,4
fr_Ar_N,0
fr_COO2,0
