DLiP-ID,T002VT
DLiP-Mol-ID,19355
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H22N2O3/c22-19(23)13-15-12-17(15)14-5-7-16(8-6-14)24-11-3-10-21-18-4-1-2-9-20-18/h1-2,4-9,15,17H,3,10-13H2,(H,20,21)(H,22,23)"
Standard Inchi Key(RDKit),JNJNTZUNBGRNAA-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(O)CC1CC1c1ccc(OCCCNc2ccccn2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),326.396
MW Monoisotopic(RDKit),326.163042564
MolLogP(RDKit),3.5408
XLogP(SDF),
XLogP(CDK),3.497
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),71.45
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),9
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),24
QED Weighted(RDKit),0.689703434516142
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,577627.8319925806
qed,0.6897034345161424
Chi0,16.77781011412252
Chi1,11.720346690612276
TPSA,71.45
Chi0n,13.519960369756642
Chi0v,13.519960369756642
Chi1n,8.316238370452808
Chi1v,8.316238370452808
