DLiP-ID,T0007J
DLiP-Mol-ID,15581
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H24ClNO4S/c22-18-13-11-17(12-14-18)7-6-16-27-21(24)20-10-4-5-15-23(20)28(25,26)19-8-2-1-3-9-19/h1-3,8-9,11-14,20H,4-7,10,15-16H2"
Standard Inchi Key(RDKit),APUHVUOFPOQKOO-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(OCCCc1ccc(Cl)cc1)C1CCCCN1S(=O)(=O)c1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),421.946
MW Monoisotopic(RDKit),421.111456928
MolLogP(RDKit),4.0592
XLogP(SDF),
XLogP(CDK),4.628
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),63.68
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.499215487700525
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,FKBP1A/FK506
Common Target Pref Name,FKBP1A/FK506
RDKit Descriptors
Ipc,2216150.2486023135
qed,0.49921548770052476
Chi0,19.98491689530906
Chi1,13.481200378874174
TPSA,63.68
Chi0n,15.589669681030596
Chi0v,17.162095207976776
Chi1n,9.462891604948439
Chi1v,11.280919406758306
Chi2n,6.837905122484104
Chi2v,9.16489550382849
Chi3n,4.8429263096136905
Chi3v,7.017301285795904
Chi4n,3.3524442777749295
Chi4v,5.146248879814947
MolMR,108.70480000000003
MolWt,421.9460000000001
fr_SH,0
Kappa1,20.834285253807362
Kappa2,9.542573233086129
Kappa3,5.128003298351291
fr_ArN,0
fr_COO,0
