DLiP-ID,T004JM
DLiP-Mol-ID,19154
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C10H9N3O2S/c14-8-9(12-13-10(15)11-8)16-6-7-4-2-1-3-5-7/h1-5H,6H2,(H2,11,13,14,15)"
Standard Inchi Key(RDKit),OIJCGUQZJJNSLM-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=c1[nH]nc(SCc2ccccc2)c(=O)[nH]1
SMILES(SDF),
MW(SDF),
MW(RDKit),235.268
MW Monoisotopic(RDKit),235.041547528
MolLogP(RDKit),0.7505
XLogP(SDF),
XLogP(CDK),1.267
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),78.61
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),16
QED Weighted(RDKit),0.769399085356786
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,SOD1 dimer
Common Target Pref Name,SOD1 dimer
RDKit Descriptors
Ipc,5509.67460044811
qed,0.7693990853567858
Chi0,11.380468888623982
Chi1,7.7540201954234895
TPSA,78.61
Chi0n,8.265816594026226
Chi0v,9.082313174953951
Chi1n,4.612498158906799
Chi1v,5.598096718560287
Chi2n,3.0862813468706274
Chi2v,4.050329947127239
Chi3n,1.8986758311952385
Chi3v,2.9264662428637913
Chi4n,1.1605996940860854
Chi4v,1.9487536105192398
MolMR,61.48140000000001
MolWt,235.26800000000003
fr_SH,0
Kappa1,10.68965055261326
Kappa2,4.801397511592889
Kappa3,2.6038640305237593
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,576.3631677887172
MolLogP,0.7505
NOCount,5
fr_Ar_N,3
fr_COO2,0
fr_urea,0
BalabanJ,2.1116081732576193
SMR_VSA1,0.0
SMR_VSA2,0.0
SMR_VSA3,15.181342137549283
SMR_VSA4,0.0
SMR_VSA5,10.77881358541603
SMR_VSA6,0.0
SMR_VSA7,56.733371495404164
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,2
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,94.92699117665464
NHOHCount,2
PEOE_VSA1,0.0
PEOE_VSA2,9.77851570501903
PEOE_VSA3,9.893218992372859
PEOE_VSA4,5.098681808301038
PEOE_VSA5,0.0
PEOE_VSA6,42.093720291699164
PEOE_VSA7,5.563451491696996
PEOE_VSA8,5.752853606746789
PEOE_VSA9,0.0
RingCount,2
SMR_VSA10,11.761884949391115
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,235.041547528
NumHDonors,2
PEOE_VSA10,0.0
PEOE_VSA11,5.025959978669241
PEOE_VSA12,0.0
PEOE_VSA13,5.559266895052007
PEOE_VSA14,5.689743398203474
SlogP_VSA1,11.24901029325548
SlogP_VSA2,15.181342137549283
SlogP_VSA3,5.752853606746789
SlogP_VSA4,0.0
SlogP_VSA5,5.563451491696996
