DLiP-ID,C100MM
DLiP-Mol-ID,35865
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H12N2O4S/c1-17-14(19)13(23-16(17)22)9-12-6-3-7-18(12)11-5-2-4-10(8-11)15(20)21/h2-9H,1H3,(H,20,21)/b13-9-"
Standard Inchi Key(RDKit),RHCSRIZWNIZTNG-LCYFTJDESA-N
Canonical SMILES(RDKit),CN1C(=O)S/C(=C\c2cccn2-c2cccc(C(=O)O)c2)C1=O
SMILES(SDF),
MW(SDF),
MW(RDKit),328.349
MW Monoisotopic(RDKit),328.051777864
MolLogP(RDKit),2.8416
XLogP(SDF),
XLogP(CDK),1.908
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),79.61
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),23
QED Weighted(RDKit),0.876505139397277
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Keap1/Nrf2
Common Target Pref Name,KEAP1/NRF2
RDKit Descriptors
Ipc,220780.37040173562
qed,0.8765051393972769
Chi0,16.560113453385565
Chi1,10.969234250586762
TPSA,79.61000000000001
Chi0n,12.093436101872335
Chi0v,12.909932682800061
Chi1n,6.698126475653697
Chi1v,7.5146230565814225
Chi2n,4.899264200353234
Chi2v,5.892455603714336
Chi3n,3.4170960668284094
Chi3v,4.377962531094195
Chi4n,2.21553432987695
Chi4v,3.0274161055784243
MolMR,86.46230000000003
MolWt,328.3490000000001
fr_SH,0
Kappa1,15.109422936449963
Kappa2,5.7698940339671925
Kappa3,2.7802333777116446
fr_ArN,0
fr_COO,1
fr_C_O,3
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,853.2700589900467
MolLogP,2.8416000000000006
NOCount,6
fr_Ar_N,1
fr_COO2,1
fr_urea,0
BalabanJ,2.0096886748729346
SMR_VSA1,19.49013894705617
SMR_VSA2,0.0
SMR_VSA3,9.467009378641833
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,7.04767198267719
SMR_VSA7,58.75756198281824
SMR_VSA8,0.0
SMR_VSA9,5.687386274683562
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,1
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,135.56359148173271
NHOHCount,1
PEOE_VSA1,9.67362704263206
PEOE_VSA2,14.48898409899412
PEOE_VSA3,4.794537184071822
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,6.06636706846161
PEOE_VSA7,48.169740398533044
PEOE_VSA8,24.625829823822286
