DLiP-ID,T007HT
DLiP-Mol-ID,25588
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H16N4O3/c1-21-16(23)12(17(24)22(2)18(21)25)9-14-15-11(7-8-19-14)10-5-3-4-6-13(10)20-15/h3-8,12,20H,9H2,1-2H3"
Standard Inchi Key(RDKit),XXAXHZJOKAYQQG-UHFFFAOYSA-N
Canonical SMILES(RDKit),CN1C(=O)C(Cc2nccc3c2[nH]c2ccccc23)C(=O)N(C)C1=O
SMILES(SDF),
MW(SDF),
MW(RDKit),336.351
MW Monoisotopic(RDKit),336.122240372
MolLogP(RDKit),1.9252
XLogP(SDF),
XLogP(CDK),0.66
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),86.37
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),25
QED Weighted(RDKit),0.724548489404048
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,p53/MDM2
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,729930.7309272822
qed,0.7245484894040477
Chi0,17.714813991764817
Chi1,11.986071002992372
TPSA,86.37
Chi0n,13.814944323405394
Chi0v,13.814944323405394
Chi1n,7.921543192557301
