DLiP-ID,J1009X
DLiP-Mol-ID,37059
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H22N4O/c1-23(2)16-8-4-14(5-9-16)13-20-19-12-18(21-22-19)15-6-10-17(24-3)11-7-15/h4-12H,13H2,1-3H3,(H2,20,21,22)"
Standard Inchi Key(RDKit),XIKUGPAVBKHKRQ-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccc(-c2cc(NCc3ccc(N(C)C)cc3)n[nH]2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),322.412
MW Monoisotopic(RDKit),322.179361324
MolLogP(RDKit),3.7634
XLogP(SDF),
XLogP(CDK),4.55
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),53.18
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),24
QED Weighted(RDKit),0.725320079802901
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,GATA4/NKX2-5
Common Target Pref Name,GATA4/NKX2-5
RDKit Descriptors
Ipc,450217.5449471965
qed,0.7253200798029014
Chi0,16.94094682093905
Chi1,11.652198343190413
TPSA,53.18
Chi0n,14.205934685356961
Chi0v,14.205934685356961
Chi1n,7.85481148041366
Chi1v,7.85481148041366
Chi2n,5.809789212714652
Chi2v,5.809789212714652
Chi3n,3.9052529787262595
Chi3v,3.9052529787262595
Chi4n,2.435302307993824
Chi4v,2.435302307993824
MolMR,98.67140000000003
MolWt,322.412
fr_SH,0
Kappa1,15.927183901826174
Kappa2,7.083506051630523
Kappa3,3.6831810676205166
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,775.8862910300965
MolLogP,3.7634000000000016
NOCount,5
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.6277299243495535
SMR_VSA1,4.736862953800049
SMR_VSA2,0.0
SMR_VSA3,10.197363616602075
SMR_VSA4,0.0
SMR_VSA5,6.544756405912575
SMR_VSA6,31.421839841488723
SMR_VSA7,60.160755107851486
SMR_VSA8,0.0
SMR_VSA9,17.00689131982936
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,141.82586304289526
NHOHCount,2
PEOE_VSA1,14.953561288656857
PEOE_VSA2,5.098681808301038
PEOE_VSA3,0.0
PEOE_VSA4,5.098681808301038
PEOE_VSA5,0.0
PEOE_VSA6,12.13273413692322
PEOE_VSA7,47.52510539416365
PEOE_VSA8,32.393853714412124
PEOE_VSA9,12.803725536125995
RingCount,3
SMR_VSA10,11.50524905251859
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,322.179361324
NumHDonors,2
PEOE_VSA10,11.567374611118932
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,14.953561288656857
SlogP_VSA2,31.40250512323399
