DLiP-ID,T007ZE
DLiP-Mol-ID,26362
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H12N4S/c19-9-13-5-1-2-6-14(13)10-22-17-8-4-3-7-15(17)21-18(22)16-11-23-12-20-16/h1-8,11-12H,10H2"
Standard Inchi Key(RDKit),ZJPPZLOGRKAZHT-UHFFFAOYSA-N
Canonical SMILES(RDKit),N#Cc1ccccc1Cn1c(-c2cscn2)nc2ccccc21
SMILES(SDF),
MW(SDF),
MW(RDKit),316.389
MW Monoisotopic(RDKit),316.078267384
MolLogP(RDKit),4.07978
XLogP(SDF),
XLogP(CDK),3.911
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),54.5
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),23
QED Weighted(RDKit),0.572053606422746
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,FKBP1A/FK506
Common Target Pref Name,FKBP1A/FK506
RDKit Descriptors
Ipc,469844.55803644256
qed,0.572053606422746
Chi0,15.6480536021256
Chi1,11.364504642955708
TPSA,54.5
Chi0n,12.177712145546504
Chi0v,12.99420872647423
Chi1n,7.184401026622244
Chi1v,8.12721006820431
Chi2n,5.15290303844333
Chi2v,5.871589336492646
Chi3n,3.782242979159406
Chi3v,4.368711507413047
Chi4n,2.691655116215732
Chi4v,3.2221006906932197
MolMR,91.10000000000001
MolWt,316.389
fr_SH,0
Kappa1,13.676363962201506
Kappa2,5.670392146186978
Kappa3,2.392450224456755
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,4
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1009.1173750797223
MolLogP,4.079780000000002
NOCount,4
fr_Ar_N,3
fr_COO2,0
fr_urea,0
BalabanJ,1.9159009809828353
SMR_VSA1,0.0
SMR_VSA2,5.261891554738487
SMR_VSA3,14.53505668968577
SMR_VSA4,0.0
SMR_VSA5,6.544756405912575
SMR_VSA6,0.0
SMR_VSA7,70.54844157517017
SMR_VSA8,0.0
SMR_VSA9,17.587553805640663
fr_Al_OH,0
