DLiP-ID,T001GJ
DLiP-Mol-ID,17152
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C26H28FN3O4/c1-3-18-16-19(27)9-12-22(18)25(31)30-23(26(32)33)15-17-7-10-21(11-8-17)34-14-13-20-5-4-6-24(28-2)29-20/h4-12,16,23H,3,13-15H2,1-2H3,(H,28,29)(H,30,31)(H,32,33)/t23-/m0/s1"
Standard Inchi Key(RDKit),FEOYKJVLQOYKSD-QHCPKHFHSA-N
Canonical SMILES(RDKit),CCc1cc(F)ccc1C(=O)N[C@@H](Cc1ccc(OCCc2cccc(NC)n2)cc1)C(=O)O
SMILES(SDF),
MW(SDF),
MW(RDKit),465.525
MW Monoisotopic(RDKit),465.206384596
MolLogP(RDKit),3.872
XLogP(SDF),
XLogP(CDK),2.67
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),100.55
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),11
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),34
QED Weighted(RDKit),0.397522737715105
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,35194326.324574895
qed,0.39752273771510493
Chi0,24.50142475325411
Chi1,16.388580448408863
TPSA,100.55
Chi0n,19.176416621232807
Chi0v,19.176416621232807
Chi1n,11.067633725279812
Chi1v,11.067633725279812
Chi2n,7.730008743545691
Chi2v,7.730008743545691
Chi3n,5.349252324943007
Chi3v,5.349252324943007
Chi4n,3.5013584142872807
Chi4v,3.5013584142872807
MolMR,127.79670000000004
MolWt,465.5250000000002
fr_SH,0
Kappa1,24.697509442097996
Kappa2,11.786421219444698
Kappa3,6.777520456830172
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1135.1445768283884
MolLogP,3.8720000000000017
NOCount,7
fr_Ar_N,1
fr_COO2,1
fr_urea,0
BalabanJ,1.571663588188963
SMR_VSA1,23.822879764459216
SMR_VSA2,0.0
SMR_VSA3,10.30076712495354
SMR_VSA4,0.0
SMR_VSA5,32.22804289761662
SMR_VSA6,18.97134255119644
SMR_VSA7,88.86517399560147
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,197.54580149407366
NHOHCount,3
PEOE_VSA1,20.476967556653413
PEOE_VSA2,4.794537184071822
PEOE_VSA3,14.16893075269385
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,25.122838405075452
PEOE_VSA7,60.01229408555127
PEOE_VSA8,31.146694715074666
PEOE_VSA9,6.606881964512918
RingCount,3
SMR_VSA10,17.694347795138384
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
