DLiP-ID,T004CK
DLiP-Mol-ID,17596
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H16N2O5/c1-22-11-6-10(7-12(23-2)15(11)24-3)14-13(9-4-5-18-8-9)16(20)19-17(14)21/h4-8,18H,1-3H3,(H,19,20,21)"
Standard Inchi Key(RDKit),NSRCSPNAUNAFIF-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1cc(C2=C(c3cc[nH]c3)C(=O)NC2=O)cc(OC)c1OC
SMILES(SDF),
MW(SDF),
MW(RDKit),328.324
MW Monoisotopic(RDKit),328.105921612
MolLogP(RDKit),1.6077
XLogP(SDF),
XLogP(CDK),1.232
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),89.65
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),24
QED Weighted(RDKit),0.814014908181588
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Tubulin dimer
Common Target Pref Name,Tubulin dimer
RDKit Descriptors
Ipc,406685.2704360225
qed,0.8140149081815877
Chi0,17.26722023457211
Chi1,11.600085410374724
TPSA,89.65
Chi0n,13.427992798267447
Chi0v,13.427992798267447
Chi1n,7.138100007643085
Chi1v,7.138100007643085
Chi2n,5.0469427160290286
Chi2v,5.0469427160290286
