DLiP-ID,T007QW
DLiP-Mol-ID,25996
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H18O6/c1-18(2)16(21)7-10-3-4-14(9-15(10)24-18)23-17(22)11-5-12(19)8-13(20)6-11/h3-6,8-9,16,19-21H,7H2,1-2H3"
Standard Inchi Key(RDKit),YOXVCHYRSQODQY-UHFFFAOYSA-N
Canonical SMILES(RDKit),CC1(C)Oc2cc(OC(=O)c3cc(O)cc(O)c3)ccc2CC1O
SMILES(SDF),
MW(SDF),
MW(RDKit),330.336
MW Monoisotopic(RDKit),330.110338296
MolLogP(RDKit),2.3914
XLogP(SDF),
XLogP(CDK),2.678
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),96.22
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),24
QED Weighted(RDKit),0.577856030937396
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,HIF-1a/p300
Common Target Pref Name,HIF-1a/p300
RDKit Descriptors
Ipc,192875.73689172082
qed,0.577856030937396
Chi0,17.48276318419594
Chi1,11.242020625571204
TPSA,96.22000000000001
Chi0n,13.314944323405395
Chi0v,13.314944323405395
Chi1n,7.496594706340191
Chi1v,7.496594706340191
Chi2n,6.322567856432326
Chi2v,6.322567856432326
Chi3n,3.976168597261228
Chi3v,3.976168597261228
Chi4n,2.5464876909653245
Chi4v,2.5464876909653245
MolMR,85.58990000000003
MolWt,330.33600000000007
fr_SH,0
Kappa1,16.13920807271896
Kappa2,5.721660261180258
Kappa3,3.1386133694848795
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,775.841149283713
MolLogP,2.3914000000000004
NOCount,6
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.827342917132778
SMR_VSA1,29.58784527619403
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,31.97331322103925
SMR_VSA6,0.0
SMR_VSA7,47.52510539416365
SMR_VSA8,0.0
SMR_VSA9,22.99804733313562
fr_Al_OH,1
fr_Ar_NH,0
fr_Ar_OH,2
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,1
fr_ether,2
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,138.443632674057
NHOHCount,3
PEOE_VSA1,24.793308092122217
PEOE_VSA2,0.0
PEOE_VSA3,4.794537184071822
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,6.06636706846161
PEOE_VSA7,37.61002709646307
PEOE_VSA8,18.553555759849232
PEOE_VSA9,11.6674178794453
RingCount,3
SMR_VSA10,5.969305287951849
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,2
ExactMolWt,330.110338296
NumHDonors,3
PEOE_VSA10,28.599098144119306
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,5.969305287951849
SlogP_VSA1,9.473725907600098
SlogP_VSA2,32.993904671205954
SlogP_VSA3,6.4208216229260096
SlogP_VSA4,0.0
SlogP_VSA5,29.76891456684706
SlogP_VSA6,36.39820241076966
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
