DLiP-ID,C004YY
DLiP-Mol-ID,35944
Vendor-ID,
Standard Inchi(RDKit),InChI=1S/C14H9N5O4/c20-18(21)12-3-1-10(2-4-12)14-9-17(16-15-14)11-5-7-13(8-6-11)19(22)23/h1-9H
Standard Inchi Key(RDKit),UEAXRAZKNXCLNH-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=[N+]([O-])c1ccc(-c2cn(-c3ccc([N+](=O)[O-])cc3)nn2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),311.257
MW Monoisotopic(RDKit),311.065453768
MolLogP(RDKit),2.7507
XLogP(SDF),
XLogP(CDK),3.263
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),116.99
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),23
QED Weighted(RDKit),0.539786349051364
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Keap1/Nrf2
Common Target Pref Name,KEAP1/NRF2
RDKit Descriptors
Ipc,245989.48610528465
qed,0.5397863490513636
Chi0,16.396976746569035
Chi1,11.041713895658194
TPSA,116.99000000000001
Chi0n,11.565213562061878
Chi0v,11.565213562061878
Chi1n,6.46433236877395
Chi1v,6.46433236877395
Chi2n,4.625843447737448
Chi2v,4.625843447737448
Chi3n,3.192345362333295
Chi3v,3.192345362333295
Chi4n,2.003265083838659
Chi4v,2.003265083838659
MolMR,80.1038
MolWt,311.257
fr_SH,0
Kappa1,14.322848067093643
Kappa2,5.63818306488729
Kappa3,2.87999894878504
fr_ArN,0
fr_COO,0
fr_C_O,0
