DLiP-ID,C001SQ
DLiP-Mol-ID,32859
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H16ClNO4/c1-24-17-10-15(18(25-2)9-14(17)20)21-19(23)13-7-11-5-3-4-6-12(11)8-16(13)22/h3-10,22H,1-2H3,(H,21,23)"
Standard Inchi Key(RDKit),QIHKTBRNOLQDGQ-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1cc(NC(=O)c2cc3ccccc3cc2O)c(OC)cc1Cl
SMILES(SDF),
MW(SDF),
MW(RDKit),357.793
MW Monoisotopic(RDKit),357.076785672
MolLogP(RDKit),4.4683
XLogP(SDF),
XLogP(CDK),4.734
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),67.79
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),25
QED Weighted(RDKit),0.722588760179795
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,474391.1432853424
qed,0.7225887601797953
Chi0,17.97432701575866
Chi1,12.028407103102726
TPSA,67.79
Chi0n,13.668725093417782
Chi0v,14.424654039436238
Chi1n,7.478209396826244
Chi1v,7.856173869835472
Chi2n,5.357669671327038
Chi2v,5.764869798067644
Chi3n,3.8307741952847607
Chi3v,4.1261437605018
Chi4n,2.557929372515367
Chi4v,2.788733532933146
MolMR,98.12200000000003
MolWt,357.7930000000001
fr_SH,0
Kappa1,16.921050319532895
Kappa2,6.906831389792871
Kappa3,3.3196968723785383
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,955.5521119106772
MolLogP,4.468300000000003
NOCount,5
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.9863303805503023
SMR_VSA1,19.374790486512623
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,19.536383686561397
SMR_VSA7,59.1170213531312
SMR_VSA8,0.0
SMR_VSA9,17.248535499851716
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,1
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,2
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,149.3009629222293
NHOHCount,2
PEOE_VSA1,19.897041906447136
PEOE_VSA2,4.794537184071822
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,35.866408164078955
PEOE_VSA7,22.90518256585281
PEOE_VSA8,12.13273413692322
PEOE_VSA9,30.49306616267695
RingCount,3
SMR_VSA10,33.967954323197176
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,1
ExactMolWt,357.07678567199997
NumHDonors,2
PEOE_VSA10,17.248535499851716
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,5.907179729351506
