DLiP-ID,C100IB
DLiP-Mol-ID,36460
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H13NO2/c19-17(16-11-13-6-2-4-8-15(13)20-16)18-10-9-12-5-1-3-7-14(12)18/h1-8,11H,9-10H2"
Standard Inchi Key(RDKit),NWLAYUVGWMPNSG-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(c1cc2ccccc2o1)N1CCc2ccccc21
SMILES(SDF),
MW(SDF),
MW(RDKit),263.296
MW Monoisotopic(RDKit),263.094628656
MolLogP(RDKit),3.6357
XLogP(SDF),
XLogP(CDK),3.037
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),33.45
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),20
QED Weighted(RDKit),0.671321247279958
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,MIF/CD74 (Macrophage migration inhibitory factor and HLA-DR antigens-associated invariant chain)
Common Target Pref Name,MIF/CD74 (Macrophage migration inhibitory factor and HLA-DR antigens-associated invariant chain)
RDKit Descriptors
Ipc,102105.77546909453
qed,0.6713212472799579
Chi0,13.526733258565956
Chi1,9.826499840494924
TPSA,33.45
