DLiP-ID,T005QM
DLiP-Mol-ID,22881
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H23N5O7/c1-31-16(28)10-23-6-7-24(13(19(23)30)8-15(26)27)14(25)9-22-18(29)12-4-2-11(3-5-12)17(20)21/h2-5,13H,6-10H2,1H3,(H3,20,21)(H,22,29)(H,26,27)/t13-/m0/s1"
Standard Inchi Key(RDKit),RXIOXTFLJJOEFS-ZDUSSCGKSA-N
Canonical SMILES(RDKit),COC(=O)CN1CCN(C(=O)CNC(=O)c2ccc(C(=N)N)cc2)[C@@H](CC(=O)O)C1=O
SMILES(SDF),
MW(SDF),
MW(RDKit),433.421
MW Monoisotopic(RDKit),433.159748076
MolLogP(RDKit),-1.61243
XLogP(SDF),
XLogP(CDK),-1.199
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),12
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),5
PSA(SDF),
PSA(RDKit),183.19
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.214262670751228
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,4655610.835858744
qed,0.21426267075122768
Chi0,23.12902755413791
Chi1,14.633136710733778
TPSA,183.19
Chi0n,16.79076605035355
Chi0v,16.79076605035355
Chi1n,9.231875069975565
Chi1v,9.231875069975565
Chi2n,6.710421784370045
Chi2v,6.710421784370045
Chi3n,4.677986624909232
Chi3v,4.677986624909232
Chi4n,3.0379791368484046
Chi4v,3.0379791368484046
MolMR,106.14110000000004
MolWt,433.4210000000002
fr_SH,0
Kappa1,23.320219209973118
Kappa2,10.184072710506276
Kappa3,6.010011520759411
fr_ArN,1
fr_COO,1
fr_C_O,5
fr_C_S,0
fr_NH0,2
fr_NH1,2
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,899.412653564062
MolLogP,-1.6124299999999947
NOCount,12
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,2.0343769267857597
SMR_VSA1,33.81607626899986
SMR_VSA2,5.409283605791522
SMR_VSA3,15.116608065707286
SMR_VSA4,5.733667477162185
SMR_VSA5,12.462662452073971
SMR_VSA6,33.288823164927834
SMR_VSA7,35.392371257240434
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,3
fr_azide,0
fr_diazo,0
fr_ester,1
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,176.97998015533764
NHOHCount,5
PEOE_VSA1,30.69366589151023
PEOE_VSA2,29.38196952615063
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,12.13273413692322
PEOE_VSA7,12.13273413692322
PEOE_VSA8,24.21641579521914
PEOE_VSA9,20.07537557011612
RingCount,2
SMR_VSA10,35.49576954971548
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,433.159748076
NumHDonors,4
