DLiP-ID,I0009Z
DLiP-Mol-ID,28100
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H16N4O2/c23-16-9-8-11-4-1-2-5-12(11)14(16)10-19-22-18(24)17-13-6-3-7-15(13)20-21-17/h1-2,4-5,8-10,23H,3,6-7H2,(H,20,21)(H,22,24)"
Standard Inchi Key(RDKit),DXALFAYOYMDQMC-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(NN=Cc1c(O)ccc2ccccc12)c1n[nH]c2c1CCC2
SMILES(SDF),
MW(SDF),
MW(RDKit),320.352
MW Monoisotopic(RDKit),320.127325752
MolLogP(RDKit),2.5211
XLogP(SDF),
XLogP(CDK),4.196
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),90.37
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),24
QED Weighted(RDKit),0.51143983003556
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,LEDGF_IN
Common Target Pref Name,LEDGF/IN
RDKit Descriptors
Ipc,629988.7168023537
qed,0.5114398300355603
Chi0,16.518297090128677
Chi1,11.737183443017884
TPSA,90.37
Chi0n,12.912661304850763
Chi0v,12.912661304850763
Chi1n,7.840566013472955
Chi1v,7.840566013472955
Chi2n,5.801499528757359
Chi2v,5.801499528757359
Chi3n,4.32883679485377
Chi3v,4.32883679485377
Chi4n,3.1352764092459493
Chi4v,3.1352764092459493
MolMR,91.28570000000002
MolWt,320.35200000000015
fr_SH,0
Kappa1,14.442763999314373
Kappa2,5.807345376475118
Kappa3,2.416893257505717
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,958.8072065605395
MolLogP,2.5211000000000006
NOCount,6
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.5755359698225502
SMR_VSA1,9.901064578912528
SMR_VSA2,0.0
SMR_VSA3,15.62315501371246
SMR_VSA4,5.101407525739723
SMR_VSA5,19.26246486877803
SMR_VSA6,0.0
SMR_VSA7,58.91296138386057
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
