DLiP-ID,T001PF
DLiP-Mol-ID,17529
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C13H15NO2/c1-8-13(10(3)16-14-8)12-6-4-5-11(7-12)9(2)15/h4-7,9,15H,1-3H3"
Standard Inchi Key(RDKit),FXWIWZBTSLATJR-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1noc(C)c1-c1cccc(C(C)O)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),217.268
MW Monoisotopic(RDKit),217.11027872
MolLogP(RDKit),3.01174
XLogP(SDF),
XLogP(CDK),2.734
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),46.26
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),16
QED Weighted(RDKit),0.840622894733449
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,BRD4/NUT
Common Target Pref Name,Bromodomain/Histone
RDKit Descriptors
Ipc,5303.344408003979
qed,0.8406228947334493
Chi0,11.706742302257043
Chi1,7.592224152875015
TPSA,46.260000000000005
Chi0n,9.68942682741191
Chi0v,9.68942682741191
Chi1n,5.305896627394485
Chi1v,5.305896627394485
Chi2n,4.00060686114557
Chi2v,4.00060686114557
Chi3n,2.6910773044371594
Chi3v,2.6910773044371594
Chi4n,1.8491592410904718
Chi4v,1.8491592410904718
MolMR,62.04680000000004
MolWt,217.268
fr_SH,0
Kappa1,10.892929887469862
Kappa2,4.1002940463635325
Kappa3,1.8608852022425826
