DLiP-ID,C000UL
DLiP-Mol-ID,31400
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H12N2O4S3/c21-15(22)7-8-20-17(23)14(27-18(20)25)9-10-5-6-12(24-10)16-19-11-3-1-2-4-13(11)26-16/h1-6,9H,7-8H2,(H,21,22)/b14-9+"
Standard Inchi Key(RDKit),LDIHFJPZWBYWJD-NTEUORMPSA-N
Canonical SMILES(RDKit),O=C(O)CCN1C(=O)/C(=C\c2ccc(-c3nc4ccccc4s3)o2)SC1=S
SMILES(SDF),
MW(SDF),
MW(RDKit),416.505
MW Monoisotopic(RDKit),415.995919864
MolLogP(RDKit),4.2322
XLogP(SDF),
XLogP(CDK),1.599
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),83.64
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),27
QED Weighted(RDKit),0.492058449738013
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,2151372.4681628817
qed,0.49205844973801316
Chi0,18.96589084732138
Chi1,13.00804039084698
TPSA,83.64
Chi0n,13.746795975983531
Chi0v,16.19628571876671
Chi1n,7.940316593349602
Chi1v,9.981558045668915
Chi2n,5.665844832438774
Chi2v,8.372259303561297
Chi3n,3.8276722531762974
Chi3v,6.256405425670794
Chi4n,2.5523786638209844
Chi4v,4.7684763104746875
MolMR,109.45380000000003
MolWt,416.5050000000001
fr_SH,0
Kappa1,17.900591782427092
Kappa2,7.259039051037803
Kappa3,3.6608428469699583
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,1
fr_NH0,2
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1065.9252227914008
MolLogP,4.232200000000002
NOCount,6
fr_Ar_N,1
fr_COO2,1
fr_urea,0
BalabanJ,1.554998627021308
SMR_VSA1,19.112752700037696
SMR_VSA2,0.0
SMR_VSA3,9.883888251797686
SMR_VSA4,0.0
SMR_VSA5,6.4208216229260096
