DLiP-ID,C001S3
DLiP-Mol-ID,32836
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C12H10N4/c1-2-6-10-9(5-1)14-12(15-10)16-11-7-3-4-8-13-11/h1-8H,(H2,13,14,15,16)"
Standard Inchi Key(RDKit),REINGBIPBAXWTB-UHFFFAOYSA-N
Canonical SMILES(RDKit),c1ccc(Nc2nc3ccccc3[nH]2)nc1
SMILES(SDF),
MW(SDF),
MW(RDKit),210.24
MW Monoisotopic(RDKit),210.09054632
MolLogP(RDKit),2.7015
XLogP(SDF),
XLogP(CDK),2.497
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),53.6
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),16
QED Weighted(RDKit),0.683344440897665
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,10534.896429543438
qed,0.6833444408976654
Chi0,10.794682450997076
Chi1,7.915816237971964
TPSA,53.6
Chi0n,8.513229344516924
Chi0v,8.513229344516924
Chi1n,5.045044686781537
Chi1v,5.045044686781537
Chi2n,3.442537155604803
Chi2v,3.442537155604803
Chi3n,2.3007401313850058
Chi3v,2.3007401313850058
Chi4n,1.570010481625837
Chi4v,1.570010481625837
MolMR,63.61340000000002
MolWt,210.24000000000004
fr_SH,0
Kappa1,8.909124351619887
Kappa2,3.6571141960017908
Kappa3,1.6065350644486753
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,567.4969450121474
MolLogP,2.7014999999999993
NOCount,4
fr_Ar_N,3
fr_COO2,0
fr_urea,0
BalabanJ,1.9541761553436152
SMR_VSA1,0.0
SMR_VSA2,0.0
SMR_VSA3,14.951935562841626
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,5.316788604006331
SMR_VSA7,48.661413050844345
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,92.36848042381153
NHOHCount,2
PEOE_VSA1,10.30076712495354
PEOE_VSA2,0.0
PEOE_VSA3,9.967957041894417
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,18.19910120538483
PEOE_VSA7,24.26546827384644
PEOE_VSA8,6.196843571613076
PEOE_VSA9,11.033401435232523
RingCount,3
SMR_VSA10,22.799603494054047
